category,img_src
snacks_&_finger_foods,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\16.11.21\4088600042435_0_XL.jpg
snacks_&_finger_foods,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\08.02.22\4088600042411_0_XL.jpg
snacks_&_finger_foods,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\30.11.21\4088600312514_0_XL.jpg
snacks_&_finger_foods,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\AWARD WINNERS 11.10\4088600312521_0_XL.jpg
snacks_&_finger_foods,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\03.08.21(2)\4088600331980_0_XL.jpg
snacks_&_finger_foods,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\16.11.21\4088600285573_0_XL.jpg
snacks_&_finger_foods,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\03.08.21(2)\4088600341835_0_XL.jpg
snacks_&_finger_foods,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\03.08.21(2)\4088600341828_0_XL.jpg
snacks_&_finger_foods,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\03.08.21(2)\4088600331997_0_XL.jpg
snacks_&_finger_foods,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/01.03.23/4088600547954_0.jpg
snacks_&_finger_foods,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/01.03.23/4088600547961_0.jpg
snacks_&_finger_foods,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/09.11.22/4088600547985_0.jpg
snacks_&_finger_foods,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/09.11.22/4088600547978_0.jpg
