category,img_src
nappies,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\15.03.22\4088600478142_0_XL.jpg
nappies,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\07.12.22\4088600300313_0_XL.jpg
nappies,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\16.11.21\4088600243023_0_XL.jpg
nappies,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\16.11.21\4088600243016_0_XL.jpg
nappies,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/07.12.22/4088600427126_0.jpg
nappies,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/07.12.22/4088600427072_0.jpg
nappies,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\MAMIA\4088600010205_0_XL.jpg
nappies,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\MAMIA\4088600229805_0_XL.jpg
nappies,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\MAMIA\4088600010182_0_XL.jpg
nappies,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\MAMIA\4088600010229_0_XL.jpg
nappies,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\MAMIA\4088600231303_0_XL.jpg
nappies,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\13.08.21\4088600427102_0_XL.jpg
nappies,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\07.12.22\4088600010366_0_XL.jpg
nappies,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\MAMIA\4088600231310_0_XL.jpg
nappies,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/07.12.22/4088600010144_0.jpg
nappies,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/07.12.22/4088600010168_0.jpg
nappies,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/07.12.22/4088600010113_0.jpg
nappies,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\19.04.23\4061464387614_0_XL.jpg
