category,img_src
bread,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\20.04.23\4088600253909_0_XL.jpg
bread,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\09.09.22\4088600111827_0_XL.jpg
bread,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\24.03.22\4088600253305_0_XL.jpg
bread,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\08.02.22\4088600041858_0_XL.jpg
bread,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\19.10.21\5010003000131_0_XL.jpg
bread,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/01.03.23/4088600079813_0.jpg
bread,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\09.09.22\4088600111667_0_XL.jpg
bread,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\30.09.21\4088600041995_0_XL.jpg
bread,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\19.10.21\5010003054226_0_XL.jpg
bread,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\17.06.21\4088600102276_0_XL.jpg
bread,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\27.04.23\4088600287805_0_XL.jpg
bread,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\26.01.22\4088600102269_0_XL.jpg
bread,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\27.04.23\4088600085081_0_XL.jpg
bread,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\27.04.23\4088600085098_0_XL.jpg
bread,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\09.09.22\4088600111841_0_XL.jpg
bread,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\19.10.21\5010003000339_0_XL.jpg
bread,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\17.06.21\4088600013725_0_XL.jpg
bread,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\13.07.21\4088600001135_0_XL.jpg
bread,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\09.07.21\4088600229928_0_XL.jpg
bread,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\23.03.22\4088600165677_0_XL.jpg
bread,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\20.07.21\4088600165684_0_XL.jpg
bread,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\14.10.21\4088600412177_0_XL.jpg
bread,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\09.03.23\4088600247977_0_XL.jpg
bread,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\27.04.23\4088600079264_0_XL.jpg
bread,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\27.04.23\4088600160214_0_XL.jpg
bread,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\26.04.23\4088600266756_0_XL.jpg
bread,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\07.07.21\4088600072029_0_XL.jpg
bread,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\13.07.21\4088600339344_0_XL.jpg
bread,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\17.06.21\4088600262864_0_XL.jpg
bread,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/22.11.21/4088600418643_0.jpg
bread,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\17.06.21\4088600010403_0_XL.jpg
bread,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\ALL_RESIZED3\4088600011783_0_XL.png
bread,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\27.04.23\4088600445670_0_XL.jpg
bread,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\17.06.21\4088600011899_0_XL.jpg
bread,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\09.02.22 (1)\4088600480206_0_XL.jpg
bread,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\21.09.21\4088600385532_0_XL.jpg
bread,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\12.05.22\5010044000121_0_XL.jpg
bread,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\15.08.22\4088600545363_0_XL.jpg
bread,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\17.06.21\5010092093441_0_XL.jpg
bread,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\17.06.21\4088600028941_0_XL.jpg
