category,img_src
pastries_&_croissants,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/01.03.23/4088600079813_0.jpg
pastries_&_croissants,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\17.06.21\4088600102276_0_XL.jpg
pastries_&_croissants,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\26.01.22\4088600102269_0_XL.jpg
pastries_&_croissants,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\14.10.21\4088600412177_0_XL.jpg
pastries_&_croissants,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\27.04.23\4088600079264_0_XL.jpg
pastries_&_croissants,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\27.04.23\4088600160214_0_XL.jpg
pastries_&_croissants,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\15.08.22\4088600545363_0_XL.jpg
pastries_&_croissants,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\20.07.21\4088600231372_0_XL.jpg
pastries_&_croissants,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\27.04.23\4088600227108_0_XL.jpg
pastries_&_croissants,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\03.05.22\4088600163703_0_XL.jpg
pastries_&_croissants,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\26.07.22\5010044000701_0_XL.jpg
pastries_&_croissants,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\17.06.21\4088600245683_0_XL.jpg
pastries_&_croissants,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\09.03.23\4088600079295_0_XL.jpg
pastries_&_croissants,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\17.06.21\4088600245690_0_XL.jpg
pastries_&_croissants,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\17.06.21\4088600075976_0_XL.jpg
pastries_&_croissants,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\26.04.23\4088600406725_0_XL.jpg
pastries_&_croissants,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\10.03.23\4088600079301_0_XL.jpg
pastries_&_croissants,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\17.06.21\4088600315676_0_XL.jpg
pastries_&_croissants,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\27.04.23\4088600418803_0_XL.jpg
pastries_&_croissants,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/07.12.22/4088600023861_0.jpg
pastries_&_croissants,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/04.10.22/5011403997670_0.jpg
pastries_&_croissants,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\12.01.23\4088600550572_0_XL.jpg
pastries_&_croissants,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\26.04.23\4088600108896_0_XL.jpg
pastries_&_croissants,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/12.01.23/4088600550589_0.jpg
pastries_&_croissants,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\18.05.23\5010044010137_0_XL.jpg
pastries_&_croissants,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\12.10.22\4088600550695_0_XL.jpg
pastries_&_croissants,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\17.06.21\4088600198736_0_XL.jpg
pastries_&_croissants,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/18.01.23/5010044010144_0.jpg
pastries_&_croissants,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\14.12.22\4088600451404_0_XL.jpg
pastries_&_croissants,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/04.10.22/5060415520826_0.jpg
pastries_&_croissants,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\29.04.22\4088600457789_0_XL.jpg
pastries_&_croissants,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/18.01.23 (1)/5060415520802_0.jpg
pastries_&_croissants,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\16.02.23\4088600079271_0_XL.jpg
pastries_&_croissants,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\27.02.23\4088600079325_0_XL.jpg
pastries_&_croissants,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\16.02.23\4088600079318_0_XL.jpg
pastries_&_croissants,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/01.03.23/4088600079288_0.jpg
pastries_&_croissants,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\19.05.23\4061459319781_0_XL.jpg
pastries_&_croissants,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\19.05.23\4061459319798_0_XL.jpg
