category,img_src
cakes,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\17.06.21\4088600028965_0_XL.jpg
cakes,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\17.06.21\4088600029023_0_XL.jpg
cakes,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\16.03.23\4088600029108_0_XL.jpg
cakes,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\17.06.21\4088600042183_0_XL.jpg
cakes,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\17.06.21\4088600029030_0_XL.jpg
cakes,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\17.06.21\4088600042190_0_XL.jpg
cakes,https://aldprdproductimages.azureedge.net/media/image_not_found.jpg
cakes,https://aldprdproductimages.azureedge.net/media/image_not_found.jpg
cakes,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/16.03.23/4088600029085_0.jpg
cakes,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/16.03.23/4088600029092_0.jpg
cakes,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\18.04.23\5012174009227_0_XL.jpg
cakes,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\17.08.21\5060001830001_0_XL.jpg
cakes,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/13.02.23 (1)/5016932115205_0.jpg
cakes,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\26.04.23\4088600098951_0_XL.jpg
cakes,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\11.04.212\4088600066691_0_XL.jpg
cakes,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\24.08.21\4088600070261_0_XL.jpg
cakes,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/01.03.23/4088600557274_0.jpg
cakes,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\11.04.212\4088600063522_0_XL.jpg
cakes,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\11.04.212\4088600132556_0_XL.jpg
cakes,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\14.12.22\4088600451404_0_XL.jpg
cakes,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\18.04.23\4088600559131_0_XL.jpg
cakes,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\18.04.23\4088600559148_0_XL.jpg
cakes,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\17.06.21\4088600092263_0_XL.jpg
cakes,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\22.11.21\4088600098937_0_XL.jpg
cakes,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\17.06.21\4088600137636_0_XL.jpg
cakes,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\17.06.21\4088600137643_0_XL.jpg
cakes,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\17.06.21\4088600209821_0_XL.jpg
cakes,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\06.06.22\4088600460369_0_XL.jpg
cakes,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\17.06.21\4088600209838_0_XL.jpg
cakes,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\16.02.23\4088600557267_0_XL.jpg
cakes,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\19.05.23\4088600069043_0_XL.jpg
cakes,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\18.05.23\5088722225715_0_XL.jpg
cakes,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\17.05.23\4088600550374_0_XL.jpg
cakes,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\18.05.23\4088600550381_0_XL.jpg
cakes,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/04.10.22/5010082132792_0.jpg
cakes,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\04.03.22\4088600455235_0_XL.jpg
cakes,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\04.03.22\4088600455242_0_XL.jpg
cakes,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/09.05.22/4088600413341_0.jpg
cakes,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/28.12.22/4061463650054_0.jpg
cakes,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\19.05.23\4088600070209_0_XL.jpg
