category,img_src
fresh_small_baked_goods,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\26.04.23\4088600266756_0_XL.jpg
fresh_small_baked_goods,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\09.02.22 (1)\4088600480206_0_XL.jpg
fresh_small_baked_goods,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/26.04.23/4088600266794_0.jpg
fresh_small_baked_goods,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\09.02.22 (1)\4088600480213_0_XL.jpg
fresh_small_baked_goods,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\09.02.22 (1)\4088600480183_0_XL.jpg
fresh_small_baked_goods,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/26.04.23/4088600266763_0.jpg
fresh_small_baked_goods,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\14.01.11\4088600422855_0_XL.jpg
fresh_small_baked_goods,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\14.01.11\4088600421179_0_XL.jpg
fresh_small_baked_goods,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\14.01.11\4088600421162_0_XL.jpg
fresh_small_baked_goods,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/04.04.22/4088600131665_0.jpg
fresh_small_baked_goods,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\05.04.22\4088600131887_0_XL.jpg
fresh_small_baked_goods,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\05.04.22\4088600175911_0_XL.jpg
fresh_small_baked_goods,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\05.04.22\4088600161860_0_XL.jpg
fresh_small_baked_goods,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\05.04.22\4088600161877_0_XL.jpg
fresh_small_baked_goods,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\29.06.22\4088600092638_0_XL.jpg
fresh_small_baked_goods,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/14.04.23/5051251002874_0.jpg
fresh_small_baked_goods,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\05.04.22\4088600131900_0_XL.jpg
fresh_small_baked_goods,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\05.04.22\4088600175898_0_XL.jpg
fresh_small_baked_goods,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\25.04.23\5051251002027_0_XL.jpg
fresh_small_baked_goods,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\05.04.22\4088600131764_0_XL.jpg
fresh_small_baked_goods,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\29.06.22\4088600045870_0_XL.jpg
fresh_small_baked_goods,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\25.04.23\5051251002041_0_XL.jpg
