category,img_src
cheddar_&_british_regional_cheese,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\14.09.21(2)\4088600048437_0_XL.jpg
cheddar_&_british_regional_cheese,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\22.07.21\4088600048451_0_XL.jpg
cheddar_&_british_regional_cheese,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\14.09.21(2)\4088600280172_0_XL.jpg
cheddar_&_british_regional_cheese,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\14.09.21(2)\4088600022437_0_XL.jpg
cheddar_&_british_regional_cheese,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\14.09.21(2)\4088600048413_0_XL.jpg
cheddar_&_british_regional_cheese,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\08.02.22\4088600048420_0_XL.jpg
cheddar_&_british_regional_cheese,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\29.11.22\4088600537580_0_XL.jpg
cheddar_&_british_regional_cheese,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\14.09.21(2)\4088600278612_0_XL.jpg
cheddar_&_british_regional_cheese,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/04.10.22/4088600537573_0.jpg
cheddar_&_british_regional_cheese,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/08.02.23/4088600537597_0.jpg
cheddar_&_british_regional_cheese,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\23.09.22 (1)\5000295142893_0_XL.jpg
cheddar_&_british_regional_cheese,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\22.07.21\4088600048505_0_XL.jpg
cheddar_&_british_regional_cheese,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/23.09.22 (1)/5000295141599_0.jpg
cheddar_&_british_regional_cheese,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\23.03.23 (1)\4088600122748_0_XL.jpg
cheddar_&_british_regional_cheese,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\01.08.22\4088600075600_0_XL.jpg
cheddar_&_british_regional_cheese,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\18.11.22\4088600075617_0_XL.jpg
cheddar_&_british_regional_cheese,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/08.08.22/4088600075624_0.jpg
cheddar_&_british_regional_cheese,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\01.08.22\4088600075631_0_XL.jpg
cheddar_&_british_regional_cheese,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\18.11.22\4088600075648_0_XL.jpg
cheddar_&_british_regional_cheese,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\19.04.23\4088600554068_0_XL.jpg
cheddar_&_british_regional_cheese,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/19.04.23/4088600554051_0.jpg
cheddar_&_british_regional_cheese,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/10.05.23/4088600554075_0.jpg
cheddar_&_british_regional_cheese,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\22.07.21\4088600022444_0_XL.jpg
cheddar_&_british_regional_cheese,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\09.05.23\4088600548777_0_XL.jpg
cheddar_&_british_regional_cheese,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\15.05.23\4088600548784_0_XL.jpg
cheddar_&_british_regional_cheese,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\15.05.23\4088600548791_0_XL.jpg
cheddar_&_british_regional_cheese,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\15.05.23\4088600548746_0_XL.jpg
