category,img_src
cheese_snacks_&_lunchbox,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/21.10.22/5000187130946_0.jpg
cheese_snacks_&_lunchbox,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\12.05.22\3073780918763_0_XL.jpg
cheese_snacks_&_lunchbox,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\14.09.21(2)\4088600047102_0_XL.jpg
cheese_snacks_&_lunchbox,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\13.12.22\3073781081909_0_XL.jpg
cheese_snacks_&_lunchbox,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\14.09.21(2)\4088600047096_0_XL.jpg
cheese_snacks_&_lunchbox,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\19.08.22\4088600282534_0_XL.jpg
cheese_snacks_&_lunchbox,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\19.08.22\4088600282527_0_XL.jpg
cheese_snacks_&_lunchbox,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\14.09.21(2)\4088600280172_0_XL.jpg
cheese_snacks_&_lunchbox,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/23.08.22/4088600517285_0.jpg
cheese_snacks_&_lunchbox,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/23.08.22/4088600517278_0.jpg
cheese_snacks_&_lunchbox,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\14.09.21(2)\4088600278612_0_XL.jpg
