category,img_src
hard_cheese,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/19.04.22(1)/4088600455792_0.jpg
hard_cheese,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\29.06.22\4061462209802_0_XL.jpg
hard_cheese,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\14.09.21(2)\4088600048277_0_XL.jpg
hard_cheese,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\14.09.21(2)\4088600048284_0_XL.jpg
hard_cheese,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\14.09.21(2)\4088600048253_0_XL.jpg
hard_cheese,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\27.07.21\4088600047072_0_XL.jpg
hard_cheese,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\14.09.21(2)\4088600048260_0_XL.jpg
hard_cheese,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\13.12.21\4088600047089_0_XL.jpg
hard_cheese,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\22.07.21\4088600048505_0_XL.jpg
hard_cheese,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\18.11.22\4088600131917_0_XL.jpg
hard_cheese,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\17.11.22\4088600075570_0_XL.jpg
hard_cheese,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\21.12.22\4088600075587_0_XL.jpg
hard_cheese,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\08.08.22\4088600131955_0_XL.jpg
hard_cheese,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/17.11.22/4088600075563_0.jpg
hard_cheese,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\01.08.22\4088600075600_0_XL.jpg
hard_cheese,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\18.11.22\4088600075617_0_XL.jpg
hard_cheese,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/08.08.22/4088600075624_0.jpg
hard_cheese,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\01.08.22\4088600075631_0_XL.jpg
hard_cheese,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\18.11.22\4088600075648_0_XL.jpg
hard_cheese,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/04.03.22 (1)/4088600018768_0.jpg
hard_cheese,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\08.08.22\4088600073859_0_XL.jpg
hard_cheese,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\18.11.22\4088600073804_0_XL.jpg
hard_cheese,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\18.11.22\4088600073828_0_XL.jpg
hard_cheese,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\08.02.22\4088600073842_0_XL.jpg
hard_cheese,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\05.01.22\4088600012247_0_XL.jpg
hard_cheese,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\22.12.21\4088600012254_0_XL.jpg
hard_cheese,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\14.09.21(2)\4088600073835_0_XL.jpg
hard_cheese,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\08.08.22\4088600131894_0_XL.jpg
