category,img_src
speciality_&_continental_cheese,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\24.04.23\4088600040684_0_XL.jpg
speciality_&_continental_cheese,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\02.02.23\4088600231242_0_XL.jpg
speciality_&_continental_cheese,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/08.02.23/4088600265360_0.jpg
speciality_&_continental_cheese,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\22.07.21\4088600058641_0_XL.jpg
speciality_&_continental_cheese,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\11.07.22\4088600155814_0_XL.jpg
speciality_&_continental_cheese,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\14.09.21(2)\4088600047324_0_XL.jpg
speciality_&_continental_cheese,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\22.07.21\4088600048369_0_XL.jpg
speciality_&_continental_cheese,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\22.07.21\4088600286808_0_XL.jpg
speciality_&_continental_cheese,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\22.07.21\4088600048345_0_XL.jpg
speciality_&_continental_cheese,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\08.02.22\4088600048154_0_XL.jpg
speciality_&_continental_cheese,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\10.05.23\4088600559704_0_XL.jpg
speciality_&_continental_cheese,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\04.04.23\4088600561028_0_XL.jpg
speciality_&_continental_cheese,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\08.02.22\4088600048185_0_XL.jpg
speciality_&_continental_cheese,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\11.04.23\4088600558912_0_XL.jpg
speciality_&_continental_cheese,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\22.07.21\4088600286815_0_XL.jpg
speciality_&_continental_cheese,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\08.02.22\4088600048192_0_XL.jpg
speciality_&_continental_cheese,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\14.09.21(2)\4088600047331_0_XL.jpg
speciality_&_continental_cheese,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\20.04.23\4088600544403_0_XL.jpg
speciality_&_continental_cheese,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\20.04.23\4088600169415_0_XL.jpg
speciality_&_continental_cheese,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\22.07.21\4088600285450_0_XL.jpg
speciality_&_continental_cheese,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/08.02.23/4088600265353_0.jpg
speciality_&_continental_cheese,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\22.07.21\4088600253329_0_XL.jpg
speciality_&_continental_cheese,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/24.04.23/4088600540535_0.jpg
speciality_&_continental_cheese,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\14.09.21(2)\4088600048178_0_XL.jpg
speciality_&_continental_cheese,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\14.09.21(2)\4088600048161_0_XL.jpg
speciality_&_continental_cheese,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\22.07.21\4088600040769_0_XL.jpg
speciality_&_continental_cheese,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\14.09.21(2)\4088600047119_0_XL.jpg
speciality_&_continental_cheese,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\19.07.21\4088600047348_0_XL.jpg
speciality_&_continental_cheese,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\22.07.21\4088600048352_0_XL.jpg
speciality_&_continental_cheese,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\11.04.23\4088600558943_0_XL.jpg
speciality_&_continental_cheese,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\14.09.21(2)\4088600036007_0_XL.jpg
speciality_&_continental_cheese,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\17.04.23\4088600558929_0_XL.jpg
speciality_&_continental_cheese,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\14.09.21(2)\4088600047126_0_XL.jpg
speciality_&_continental_cheese,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\02.02.23\4088600346113_0_XL.jpg
speciality_&_continental_cheese,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\11.04.23\4088600558936_0_XL.jpg
speciality_&_continental_cheese,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\08.02.23\4088600040776_0_XL.jpg
speciality_&_continental_cheese,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\23.03.23 (1)\4088600346106_0_XL.jpg
