category,img_src
butter_&_spreads,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\14.09.21\4088600190105_0_XL.jpg
butter_&_spreads,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/16.08.22/8719200238398_0.jpg
butter_&_spreads,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\14.09.21\4088600190112_0_XL.jpg
butter_&_spreads,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/22.11.21/4088600248974_0.jpg
butter_&_spreads,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\14.09.21\4088600330686_0_XL.jpg
butter_&_spreads,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\16.08.22\8719200237933_0_XL.jpg
butter_&_spreads,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\17.08.21(2)\4088600041445_0_XL.jpg
butter_&_spreads,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\17.08.21(2)\4088600041476_0_XL.jpg
butter_&_spreads,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\21.10.21\4088600421612_0_XL.jpg
butter_&_spreads,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\22.11.21\4088600248967_0_XL.jpg
butter_&_spreads,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\16.02.23\4088600531342_0_XL.jpg
butter_&_spreads,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\06.10.21 AWARD WINNERS BADGES\4088600136318_0_XL.jpg
butter_&_spreads,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\16.02.23\4088600531359_0_XL.jpg
butter_&_spreads,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\4088600313146_822f45dd15d441688b3eb221997b2e46_XL.jpg
butter_&_spreads,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\17.08.21(2)\4088600313979_0_XL.jpg
butter_&_spreads,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\17.08.21(2)\4088600313917_0_XL.jpg
butter_&_spreads,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\09.03.23\4061464139749_0_XL.jpg
butter_&_spreads,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/02.09.22/5025840002521_0.jpg
butter_&_spreads,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\02.09.22\5025840001807_0_XL.jpg
butter_&_spreads,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\22.09.22 (1)\5740900403680_0_XL.jpg
butter_&_spreads,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/11.01.23/4088600531298_0.jpg
butter_&_spreads,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\22.09.22 (1)\5000181041170_0_XL.jpg
butter_&_spreads,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\01.08.22\4088600051314_0_XL.jpg
butter_&_spreads,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\17.05.22\4088600053608_0_XL.jpg
butter_&_spreads,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\09.03.23\4061464139909_0_XL.jpg
butter_&_spreads,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/26.04.23/4088600053561_0.jpg
