category,img_src
cream,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\14.09.21\4088600032283_0_XL.jpg
cream,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\08.02.22\4088600032245_0_XL.jpg
cream,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\14.09.21(2)\4088600032344_0_XL.jpg
cream,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\28.04.23\4088600187563_0_XL.jpg
cream,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\14.09.21\8719200204768_0_XL.jpg
cream,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\08.02.22\4088600032269_0_XL.jpg
cream,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\14.09.21\4088600032337_0_XL.jpg
cream,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\04.02.2022\4088600255613_0_XL.jpg
cream,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\26.07.22\4088600011370_0_XL.jpg
cream,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\20.04.23\4088600105376_0_XL.jpg
cream,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\17.05.22\4088600105383_0_XL.jpg
cream,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\04.02.2022\4088600255590_0_XL.jpg
