category,img_src
milk,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\14.09.21\4088600003863_0_XL.jpg
milk,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\26.09.22\4088600003849_0_XL.jpg
milk,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/13.02.23 (1)/4088600003825_0.jpg
milk,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\25..02.22\4088600170336_0_XL.jpg
milk,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/26.09.22/4088600003900_0.jpg
milk,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\03.12.21\4088600248707_0_XL.jpg
milk,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\01.03.22\4088600170299_0_XL.jpg
milk,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\14.09.21\4088600003788_0_XL.jpg
milk,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\14.09.21\4088600003948_0_XL.jpg
milk,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\24.02.22\4088600403595_0_XL.jpg
milk,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\16.02.23\4088600403571_0_XL.jpg
milk,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\14.09.21\4088600003924_0_XL.jpg
milk,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\14.09.21\4088600003887_0_XL.jpg
milk,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\26.09.22\4088600003719_0_XL.jpg
milk,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\01.03.22\4088600403588_0_XL.jpg
milk,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\14.09.21\4088600003801_0_XL.jpg
milk,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\25.04.23\4088600007007_0_XL.jpg
milk,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/16.11.22/4088600531489_0.jpg
milk,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/04.04.22/4088600454436_0.jpg
milk,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\10.09.21 (2)\4088600081465_0_XL.jpg
milk,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/26.04.23/4088600006956_0.jpg
milk,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\17.04.23\4061464276567_0_XL.jpg
milk,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\16.11.22\4088600538037_0_XL.jpg
milk,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\04.02.2022\4088600255590_0_XL.jpg
milk,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/16.11.22/4088600535753_0.jpg
milk,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\09.12.22\4088600538044_0_XL.jpg
milk,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\17.05.22\4088600105369_0_XL.jpg
