category,img_src
salads,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\19.04.22(1)\4088600510019_0_XL.jpg
salads,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\11.02.22\4088600479095_0_XL.jpg
salads,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\26.04.22 1\4088600291383_0_XL.jpg
salads,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\20.04.23\4088600132310_0_XL.jpg
salads,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\23.09.21\4088600146454_0_XL.jpg
salads,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\31.05.22\4088600038032_0_XL.jpg
salads,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\13.04.23 (2)\4088600558561_0_XL.jpg
salads,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\18.11.21 REVERSION ERRORS\4088600382432_0_XL.jpg
salads,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\11.02.22\4088600287171_0_XL.jpg
salads,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\31.05.22\4088600037967_0_XL.jpg
salads,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\31.05.22\4088600213187_0_XL.jpg
salads,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\20.12.21\4088600382357_0_XL.jpg
salads,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/12.01.23/4088600371603_0.jpg
salads,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\22.05.23\4088600560106_0_XL.jpg
salads,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\28.06.22\4088600510231_0_XL.jpg
