category,img_src
spreads_dips_&_dressings,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\29.03.22\4088600003429_0_XL.jpg
spreads_dips_&_dressings,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\29.03.22\4088600003412_0_XL.jpg
spreads_dips_&_dressings,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\29.03.22\4088600187273_0_XL.jpg
spreads_dips_&_dressings,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\29.03.22\4088600005027_0_XL.jpg
spreads_dips_&_dressings,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\21.04.22\4088600251653_0_XL.jpg
spreads_dips_&_dressings,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\25.04.22\4088600005201_0_XL.jpg
spreads_dips_&_dressings,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\06.05.22\4088600446387_0_XL.jpg
spreads_dips_&_dressings,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\29.03.22\4088600005034_0_XL.jpg
spreads_dips_&_dressings,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\23.09.21\4088600347493_0_XL.jpg
spreads_dips_&_dressings,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\21.04.22\4088600251677_0_XL.jpg
spreads_dips_&_dressings,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\18.01.23 (1)\4088600369280_0_XL.jpg
spreads_dips_&_dressings,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/26.04.22 2/4088600300160_0.jpg
spreads_dips_&_dressings,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\25.04.22\4088600005195_0_XL.jpg
spreads_dips_&_dressings,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\21.04.22\4088600258393_0_XL.jpg
spreads_dips_&_dressings,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\21.04.22\4088600282831_0_XL.jpg
spreads_dips_&_dressings,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/08.02.23/4088600282862_0.jpg
spreads_dips_&_dressings,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\4088600553375_01299d6e12a14ca39e4684ce0a3bb9e5_XL.jpg
spreads_dips_&_dressings,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\02.09.21\4088600360508_0_XL.jpg
