category,img_src
fruit_yogurts,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\07.12.22\4088600291857_0_XL.jpg
fruit_yogurts,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\16.02.23\4088600291864_0_XL.jpg
fruit_yogurts,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\02.09.22\4088600007274_0_XL.jpg
fruit_yogurts,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\02.09.22\4088600007281_0_XL.jpg
fruit_yogurts,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\18.11.21 REVERSION ERRORS\4088600265933_0_XL.jpg
fruit_yogurts,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/18.11.21 REVERSION ERRORS/4088600190051_0.jpg
fruit_yogurts,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\09.09.22\4088600155869_0_XL.jpg
fruit_yogurts,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\23.09.21\4088600187174_0_XL.jpg
fruit_yogurts,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\23.09.21\4088600286976_0_XL.jpg
fruit_yogurts,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/18.11.21 REVERSION ERRORS/4088600261287_0.jpg
fruit_yogurts,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/18.11.21 REVERSION ERRORS/4088600212593_0.jpg
fruit_yogurts,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\18.01.23 (1)\4088600218151_0_XL.jpg
fruit_yogurts,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\23.09.21\4088600187150_0_XL.jpg
fruit_yogurts,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\18.01.23 (1)\4088600218144_0_XL.jpg
fruit_yogurts,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\05.09.22\4088600493626_0_XL.jpg
fruit_yogurts,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\01.07.22\4088600035161_0_XL.jpg
fruit_yogurts,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/18.01.23 (1)/4088600125121_0.jpg
fruit_yogurts,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\13.01.23\4088600531212_0_XL.jpg
fruit_yogurts,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\13.01.23\4088600531199_0_XL.jpg
fruit_yogurts,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\13.01.23\4088600531182_0_XL.jpg
fruit_yogurts,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/01.03.23/4088600017259_0.jpg
fruit_yogurts,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\12.10.21(3)\5025840004747_0_XL.jpg
fruit_yogurts,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/18.11.21 REVERSION ERRORS/4088600172187_0.jpg
fruit_yogurts,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/18.11.21 REVERSION ERRORS/4088600172194_0.jpg
fruit_yogurts,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\30.06 URL UPLOAD\4088600470306_0_XL.jpg
fruit_yogurts,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\12.09.22\4088600470467_0_XL.jpg
fruit_yogurts,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/03.11.22/4088600027562_0.jpg
fruit_yogurts,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\17.01.23\4088600043159_0_XL.jpg
fruit_yogurts,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\17.01.23\4088600043166_0_XL.jpg
fruit_yogurts,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/01.03.23/4088600016368_0.jpg
fruit_yogurts,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/01.03.23/4088600371917_0.jpg
fruit_yogurts,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/18.11.21 REVERSION ERRORS/4088600131726_0.jpg
fruit_yogurts,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\12.10.21(3)\5025840004754_0_XL.jpg
fruit_yogurts,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/18.11.21 REVERSION ERRORS/4088600131702_0.jpg
fruit_yogurts,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\4088600407241_843d9f986f9e44e4bc16b383e110cf24_XL.jpg
fruit_yogurts,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/01.03.23/5901939103266_0.jpg
fruit_yogurts,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/13.01.23/4088600545295_0.jpg
fruit_yogurts,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\24.02.23\5901939103259_0_XL.jpg
fruit_yogurts,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\10.01.21\4088600422596_0_XL.jpg
fruit_yogurts,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\18.11.21 REVERSION ERRORS\4088600033372_0_XL.jpg
