category,img_src
plain_yogurts,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\08.02.22\4088600060941_0_XL.jpg
plain_yogurts,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/18.11.21 REVERSION ERRORS/4088600060880_0.jpg
plain_yogurts,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/18.11.21 REVERSION ERRORS/4088600172552_0.jpg
plain_yogurts,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/18.11.21 REVERSION ERRORS/4088600172590_0.jpg
plain_yogurts,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\18.11.21 REVERSION ERRORS\4088600172576_0_XL.jpg
plain_yogurts,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/18.11.21 REVERSION ERRORS/4088600172521_0.jpg
plain_yogurts,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\23.09.21\4088600284897_0_XL.jpg
plain_yogurts,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\23.09.21\4088600284910_0_XL.jpg
plain_yogurts,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/04.04.22/4088600438047_0.jpg
plain_yogurts,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\12.10.21(3)\5025840004747_0_XL.jpg
plain_yogurts,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\12.10.21(3)\5025840004754_0_XL.jpg
plain_yogurts,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\05.05.23\4088600528014_0_XL.jpg
plain_yogurts,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\15.05.23\4088600528021_0_XL.jpg
plain_yogurts,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\15.05.23\4088600528038_0_XL.jpg
