category,img_src
beer_lager_&_ales,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\16.05.22 (1)\4088600325637_0_XL.jpg
beer_lager_&_ales,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\16.05.22 (1)\4088600325712_0_XL.jpg
beer_lager_&_ales,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\16.05.22 (1)\4088600241302_0_XL.jpg
beer_lager_&_ales,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\06.07.22\4088600283043_0_XL.jpg
beer_lager_&_ales,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\25.07.22\4088600521343_0_XL.jpg
beer_lager_&_ales,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\Christmas 2022 \4088600549507_0_XL.jpg
beer_lager_&_ales,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\12.05.22\5011348008639_0_XL.jpg
beer_lager_&_ales,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\13.05.22\4088600241319_0_XL.jpg
beer_lager_&_ales,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\16.05.22 (1)\4088600426358_0_XL.jpg
beer_lager_&_ales,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\25.07.22\4088600521374_0_XL.jpg
beer_lager_&_ales,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\12.05.22\5011348015194_0_XL.jpg
beer_lager_&_ales,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/08.02.23/4088600551548_0.jpg
beer_lager_&_ales,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/16.05.22 (2)/4088600304120_0.jpg
beer_lager_&_ales,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\25.07.22\4088600521367_0_XL.jpg
beer_lager_&_ales,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\12.05.22\4088600142050_0_XL.jpg
beer_lager_&_ales,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\16.05.22 (1)\4088600302638_0_XL.jpg
beer_lager_&_ales,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\21.02.22\5028403155146_0_XL.jpg
beer_lager_&_ales,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/01.11.22/4088600552231_0.jpg
beer_lager_&_ales,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/16.05.22 (2)/5060031050240_0.jpg
beer_lager_&_ales,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\09.09.22\4088600426365_0_XL.jpg
beer_lager_&_ales,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\06.05.22\4088600474533_0_XL.jpg
beer_lager_&_ales,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\14.06.22\4088600504513_0_XL.jpg
beer_lager_&_ales,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\Christmas 2022 \4088600521398_0_XL.jpg
beer_lager_&_ales,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\06.12.22\5056025471344_0_XL.jpg
beer_lager_&_ales,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/12.01.23/4088600135182_0.jpg
beer_lager_&_ales,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\12.05.22\5010153773671_0_XL.jpg
beer_lager_&_ales,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\16.05.22 (1)\4088600312767_0_XL.jpg
beer_lager_&_ales,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\04.03.22 (1)\5014379004465_0_XL.jpg
beer_lager_&_ales,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/19.04.23/4088600559223_0.jpg
beer_lager_&_ales,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\01.11.22\4088600441665_0_XL.jpg
beer_lager_&_ales,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\Christmas 2022 \4088600522715_0_XL.jpg
beer_lager_&_ales,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\19.04.23\4088600559230_0_XL.jpg
beer_lager_&_ales,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/16.05.22 (2)/4088600304014_0.jpg
beer_lager_&_ales,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\BRANDBANK STUFF\5016325802323_0_XL.jpg
beer_lager_&_ales,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\12.05.22\5016325849144_0_XL.jpg
beer_lager_&_ales,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\25..02.22\5035766064466_0_XL.jpg
beer_lager_&_ales,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\17.04.23\5014379023176_0_XL.jpg
beer_lager_&_ales,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\29.07.22\4088600521350_0_XL.jpg
beer_lager_&_ales,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\04.10.22\4088600521381_0_XL.jpg
beer_lager_&_ales,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/22.11.22/4088600522708_0.jpg
