category,img_src
cider,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\12.05.22\4088600014845_0_XL.jpg
cider,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\16.05.22 (2)\7350071700204_0_XL.jpg
cider,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\16.05.22 (2)\7350071700266_0_XL.jpg
cider,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\12.05.22\4088600106908_0_XL.jpg
cider,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\13.05.22\4088600206929_0_XL.jpg
cider,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/16.05.22 (2)/7350071700105_0.jpg
cider,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/11.01.23/7350136990007_0.jpg
cider,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\13.05.22\4088600461519_0_XL.jpg
cider,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\24.08.22\4088600227009_0_XL.jpg
cider,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/16.05.22 (2)/7350071700624_0.jpg
cider,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\16.05.22 (2)\7350071700280_0_XL.jpg
cider,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/16.05.22 (2)/7350071700631_0.jpg
cider,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/16.05.22 (2)/4088600206967_0.jpg
cider,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\24.08.22\4088600142012_0_XL.jpg
cider,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\11.05.23\4088600486970_0_XL.jpg
cider,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\05.05.23\4088600558769_0_XL.jpg
cider,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/11.01.23/7350136990106_0.jpg
cider,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\23.09.22 (1)\5035766049418_0_XL.jpg
