category,img_src
coffee_beans_&_ground_coffee,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\13.08.21\4088600390567_0_XL.jpg
coffee_beans_&_ground_coffee,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\10.09.21 (2)\4088600390550_0_XL.jpg
coffee_beans_&_ground_coffee,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\15.08.22\4088600506562_0_XL.jpg
coffee_beans_&_ground_coffee,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/02.11.22/4088600259826_0.jpg
coffee_beans_&_ground_coffee,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\02.11.22\4088600396590_0_XL.jpg
coffee_beans_&_ground_coffee,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\10.09.21 (2)\4088600396569_0_XL.jpg
coffee_beans_&_ground_coffee,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\02.11.22\4088600259833_0_XL.jpg
coffee_beans_&_ground_coffee,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\02.11.22\4088600396606_0_XL.jpg
coffee_beans_&_ground_coffee,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/02.11.22/4088600396583_0.jpg
coffee_beans_&_ground_coffee,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\15.08.22\4088600506579_0_XL.jpg
coffee_beans_&_ground_coffee,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/27.10.22/4088600506586_0.jpg
