category,img_src
powder_mixes,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\24.08.21\4088600290294_0_XL.jpg
powder_mixes,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\16.06.21\4088600291666_0_XL.jpg
powder_mixes,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\24.08.21\4088600290317_0_XL.jpg
powder_mixes,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\24.08.21\4088600290300_0_XL.jpg
powder_mixes,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\16.06.21\4088600290126_0_XL.jpg
powder_mixes,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\16.06.21\4088600291697_0_XL.jpg
powder_mixes,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\24.08.22 (2)\7613037037852_0_XL.jpg
powder_mixes,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\01.07.22\8445290161147_0_XL.jpg
powder_mixes,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\09.03.23\7613034309563_0_XL.jpg
powder_mixes,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\16.06.21\4088600290164_0_XL.jpg
powder_mixes,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\ALL_RESIZED3\4088600395104_0_XL.png
powder_mixes,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\16.06.21\4088600290157_0_XL.jpg
powder_mixes,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\16.06.21\4088600290140_0_XL.jpg
powder_mixes,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\ALL_RESIZED3\4088600395111_0_XL.png
powder_mixes,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\05.08.21\4088600395098_0_XL.jpg
