category,img_src
juices_&_children's_drinks,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/29.09.22/4088600123929_0.jpg
juices_&_children's_drinks,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/29.09.22/4088600123912_0.jpg
juices_&_children's_drinks,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/04.10.22/4088600124063_0.jpg
juices_&_children's_drinks,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\16.06.21\4088600222615_0_XL.jpg
juices_&_children's_drinks,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/29.09.22/4088600006970_0.jpg
juices_&_children's_drinks,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/04.10.22/4088600124070_0.jpg
juices_&_children's_drinks,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\26.09.22\4088600350875_0_XL.jpg
juices_&_children's_drinks,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\29.09.22\4088600006963_0_XL.jpg
juices_&_children's_drinks,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\29.09.22\4088600006994_0_XL.jpg
juices_&_children's_drinks,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\16.06.21\4088600222608_0_XL.jpg
juices_&_children's_drinks,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/26.09.22/4088600350882_0.jpg
juices_&_children's_drinks,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\16.06.21\4088600055428_0_XL.jpg
juices_&_children's_drinks,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\21.10.22\4088600113708_0_XL.jpg
juices_&_children's_drinks,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/29.09.22/4088600256399_0.jpg
juices_&_children's_drinks,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\16.06.21\4088600113654_0_XL.jpg
