category,img_src
juices,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\ALL_RESIZED3\4088600388779_0_XL.png
juices,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\06.09.22\4088600056425_0_XL.jpg
juices,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\14.06.21\4088600160023_0_XL.jpg
juices,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\20.07.21\4088600388786_0_XL.jpg
juices,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\14.06.21\4088600227399_0_XL.jpg
juices,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\20.07.21\4088600388793_0_XL.jpg
juices,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\06.09.22\4088600270227_0_XL.jpg
juices,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\16.06.21\4088600141091_0_XL.jpg
juices,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\20.07.21\4088600388809_0_XL.jpg
juices,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\14.06.21\4088600227382_0_XL.jpg
juices,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\14.06.21\4088600271057_0_XL.jpg
juices,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\25.05.22\4088600503097_0_XL.jpg
juices,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\29.03.23\4088600503080_0_XL.jpg
juices,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/29.03.23/4088600557564_0.jpg
juices,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\14.06.21\4088600205557_0_XL.jpg
juices,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\25.05.22\4088600503073_0_XL.jpg
juices,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\14.06.22\4088600522197_0_XL.jpg
juices,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\14.06.22\4088600522203_0_XL.jpg
juices,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\14.06.22\4088600522210_0_XL.jpg
juices,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\14.06.21\4088600294834_0_XL.jpg
juices,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\24.02.23\4088600216577_0_XL.jpg
juices,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\13.04.23 (2)\4088600557540_0_XL.jpg
juices,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\13.04.23 (2)\4088600557557_0_XL.jpg
juices,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\24.02.23\4088600216584_0_XL.jpg
juices,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\14.06.21\4088600403991_0_XL.jpg
juices,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\5060268001251_5db35af6843c4610bd60a724e77d8bf8_XL.jpg
juices,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\5060268001244_306e31d28008466882f4f9dc7acd047d_XL.jpg
juices,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\18.06.21\4088600388830_0_XL.jpg
juices,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\18.06.21\4088600388816_0_XL.jpg
juices,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\18.06.21\4088600388823_0_XL.jpg
juices,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\24.02.23\4088600216591_0_XL.jpg
juices,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\14.06.21\4088600057811_0_XL.jpg
juices,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\18.11.21\4088600141053_0_XL.jpg
juices,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\5060268001350_b0ddbc648a74480eba3c42de28fa766a_XL.jpg
juices,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\23.09.21\4088600404004_0_XL.jpg
juices,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\18.11.21\4088600123103_0_XL.jpg
juices,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\24.08.21(2)\4088600216560_0_XL.jpg
juices,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\18.11.21\4088600123097_0_XL.jpg
juices,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\04.10.21\4088600041933_0_XL.jpg
juices,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\17.11.21 B\4088600123080_0_XL.jpg
