category,img_src
sports_&_energy_drinks,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\14.07.22\4088600027906_0_XL.jpg
sports_&_energy_drinks,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\11.03.22\4088600157498_0_XL.jpg
sports_&_energy_drinks,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\11.03.22\4088600157474_0_XL.jpg
sports_&_energy_drinks,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\18.01.23 (1)\4088600541075_0_XL.jpg
sports_&_energy_drinks,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/18.01.23 (1)/4088600540214_0.jpg
sports_&_energy_drinks,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\26.09.22\4088600407791_0_XL.jpg
sports_&_energy_drinks,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\26.09.22\4088600407784_0_XL.jpg
sports_&_energy_drinks,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\26.09.22\4088600407777_0_XL.jpg
sports_&_energy_drinks,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/26.09.22/4088600407807_0.jpg
sports_&_energy_drinks,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/11.11.22/4088600541723_0.jpg
sports_&_energy_drinks,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\12.05.22\9002490208318_0_XL.jpg
sports_&_energy_drinks,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/11.11.22/4088600541198_0.jpg
sports_&_energy_drinks,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\12.05.22\5054267010727_0_XL.jpg
sports_&_energy_drinks,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\05.04.22\5054267010710_0_XL.jpg
