category,img_src
squash_&_cordial,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\28.07.22\4088600243962_0_XL.jpg
squash_&_cordial,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\28.07.22\4088600243955_0_XL.jpg
squash_&_cordial,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\28.07.22\4088600243948_0_XL.jpg
squash_&_cordial,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\28.07.22\4088600402390_0_XL.jpg
squash_&_cordial,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\28.07.22\4088600402383_0_XL.jpg
squash_&_cordial,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\11.03.22\4088600399294_0_XL.jpg
squash_&_cordial,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\26.09.22\4088600402420_0_XL.jpg
squash_&_cordial,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\28.07.22\4088600402406_0_XL.jpg
squash_&_cordial,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\29.09.22\4088600244068_0_XL.jpg
squash_&_cordial,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\14.03.22\4088600399317_0_XL.jpg
squash_&_cordial,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\11.03.22\4088600399300_0_XL.jpg
squash_&_cordial,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/29.09.22/4088600264080_0.jpg
squash_&_cordial,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\29.09.22\4088600264073_0_XL.jpg
squash_&_cordial,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/07.12.22/4088600523088_0.jpg
squash_&_cordial,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/29.09.22/4088600244051_0.jpg
squash_&_cordial,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/29.09.22/4088600244075_0.jpg
squash_&_cordial,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\21.10.22\4088600244044_0_XL.jpg
squash_&_cordial,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\26.09.22\4088600402437_0_XL.jpg
squash_&_cordial,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\06.04.22\4088600399287_0_XL.jpg
squash_&_cordial,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/04.10.22/4088600124063_0.jpg
squash_&_cordial,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/26.09.22/4088600402413_0.jpg
squash_&_cordial,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\26.09.22\4088600452548_0_XL.jpg
squash_&_cordial,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/04.10.22/4088600124070_0.jpg
squash_&_cordial,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\26.09.22\4088600452531_0_XL.jpg
