category,img_src
water,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/04.10.22/4088600255118_0.jpg
water,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\21.10.22\4088600255101_0_XL.jpg
water,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\09.06.21\25298109_0_XL.jpg
water,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/04.10.22/4088600256009_0.jpg
water,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\04.10.22\4088600256368_0_XL.jpg
water,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/04.10.22/4088600256382_0.jpg
water,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/04.10.22/4088600255095_0.jpg
water,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/29.09.22/4088600256351_0.jpg
water,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/29.09.22/4088600114286_0.jpg
water,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\29.09.22\4088600114293_0_XL.jpg
water,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\26.09.22\4088600392769_0_XL.jpg
water,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\26.01.23\4088600184579_0_XL.jpg
water,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\ALL_RESIZED3\4088600184586_0_XL.png
water,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\24.08.21\4088600184609_0_XL.jpg
water,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\24.08.21\4088600184593_0_XL.jpg
water,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\4088600184562_ab9a4354fcd948c89f954296fcc51456_XL.jpg
water,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/13.02.23/4088600184616_0.jpg
water,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\24.08.21\4088600184630_0_XL.jpg
