category,img_src
spirits,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\02.02.23\4088600247687_0_XL.jpg
spirits,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/28.03.23/4088600272245_0.jpg
spirits,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\08.12.22\4088600141992_0_XL.jpg
spirits,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/28.03.23/4088600272238_0.jpg
spirits,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\12.04.22\4088600228488_0_XL.jpg
spirits,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\28.03.23\4088600556512_0_XL.jpg
spirits,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\09.03.23\4088600497792_0_XL.jpg
spirits,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\28.03.23\4088600556529_0_XL.jpg
spirits,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\28.04.22\4088600141961_0_XL.jpg
spirits,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\28.03.23\4088600556505_0_XL.jpg
spirits,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\28.04.22\4088600470665_0_XL.jpg
spirits,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\29.03.23\4088600556659_0_XL.jpg
spirits,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\07.07.22\4088600142005_0_XL.jpg
spirits,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\4088600141138_d653e15128bb45118a6ed12fa4a8037c_XL.jpg
spirits,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\12.04.22\4088600141145_0_XL.jpg
spirits,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\12.04.22\4088600081090_0_XL.jpg
spirits,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\09.03.23\4088600373867_0_XL.jpg
spirits,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\13.04.22\4088600260884_0_XL.jpg
spirits,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\06.07.22\4088600141121_0_XL.jpg
spirits,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\4061462193262_e77474ca9be748df8c8d1decbba9adbe_XL.jpg
spirits,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\20.04.22\5016840101192_0_XL.jpg
spirits,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\13.04.22\4088600160207_0_XL.jpg
spirits,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/24.08.22 (2)/4088600046037_0.jpg
spirits,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/20.12.22/4088600497754_0.jpg
spirits,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\22.03\4088600475912_0_XL.jpg
spirits,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\03.04.23\4088600556680_0_XL.jpg
spirits,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\19.04.23\4088600557854_0_XL.jpg
spirits,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\13.04.22\4088600475905_0_XL.jpg
spirits,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\28.04.22\4088600209609_0_XL.jpg
spirits,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\13.04.22\4088600256481_0_XL.jpg
spirits,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\13.04.22\4088600475929_0_XL.jpg
spirits,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\11.04.23\4088600556710_0_XL.jpg
spirits,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/08.11.22/4088600540542_0.jpg
spirits,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\ALL_RESIZED3\4088600277837_0_XL.png
spirits,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\14.02.22 AWARD WINNERS\4088600277820_0_XL.jpg
spirits,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\14.02.22 AWARD WINNERS\4088600277844_0_XL.jpg
spirits,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\28.04.22\4088600073422_0_XL.jpg
spirits,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\22.03\4088600487670_0_XL.jpg
spirits,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\14.02.22 AWARD WINNERS\4088600272139_0_XL.jpg
spirits,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\12.04.22\4088600432830_0_XL.jpg
