category,img_src
everyday_tea,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\12.05.22\615357131705_0_XL.jpg
everyday_tea,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\16.06.21\4088600289892_0_XL.jpg
everyday_tea,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/11.11.22/4088600290003_0.jpg
everyday_tea,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\11.11.22\4088600289939_0_XL.jpg
everyday_tea,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\26.05.22\5000208069897_0_XL.jpg
everyday_tea,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\16.06.21\8712100712494_0_XL.jpg
everyday_tea,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\10.09.21 (2)\4088600291130_0_XL.jpg
everyday_tea,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\31.05.22\5000208097739_0_XL.jpg
everyday_tea,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\10.09.21 (2)\4088600291147_0_XL.jpg
everyday_tea,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\24.08.21\4088600069616_0_XL.jpg
everyday_tea,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\30.01.23\4088600291154_0_XL.jpg
everyday_tea,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\30.01.23\4088600035383_0_XL.jpg
