category,img_src
wine,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\14.06.21\4088600350431_0_XL.jpg
wine,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\12.05.22\4088600014845_0_XL.jpg
wine,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\16.05.22 (2)\7350071700204_0_XL.jpg
wine,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\16.05.22 (2)\7350071700266_0_XL.jpg
wine,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\19.10.22\4088600485799_0_XL.jpg
wine,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\Podback\4088600449913_0_XL.jpg
wine,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/29.09.22/4088600264349_0.jpg
wine,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/26.09.22/4088600440965_0.jpg
wine,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\16.06.21\4088600259970_0_XL.jpg
wine,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/29.09.22/4088600256238_0.jpg
wine,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\ALL_RESIZED3\4088600388779_0_XL.png
wine,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\Podback\4088600299327_0_XL.jpg
wine,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\Podback\4088600449937_0_XL.jpg
wine,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/04.10.22/4088600255118_0.jpg
wine,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/26.09.22/4088600373843_0.jpg
wine,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\24.08.21\4088600290294_0_XL.jpg
wine,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\21.04.23\4088600556840_0_XL.jpg
wine,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\06.09.21\4088600280561_0_XL.jpg
wine,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\31.10.22\4088600373393_0_XL.jpg
wine,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\16.05.22 (1)\4088600325637_0_XL.jpg
wine,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\12.04.22\4088600138244_0_XL.jpg
wine,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\26.09.22\4088600440934_0_XL.jpg
wine,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\12.04.22\4088600374031_0_XL.jpg
wine,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\16.06.21\4088600291666_0_XL.jpg
wine,https://aldprdproductimages.azureedge.net/media/image_not_found.jpg
wine,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/29.09.22/4088600256207_0.jpg
wine,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\24.08.21\4088600290317_0_XL.jpg
wine,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\06.09.22\4088600056425_0_XL.jpg
wine,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\24.04.23\4088600556826_0_XL.jpg
wine,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\12.05.22\615357131705_0_XL.jpg
wine,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\13.08.21\4088600390567_0_XL.jpg
wine,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\14.06.21\4088600160023_0_XL.jpg
wine,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\14.02.22 AWARD WINNERS\4088600281490_0_XL.jpg
wine,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\21.04.23\4088600556833_0_XL.jpg
wine,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/08.02.23/4088600289151_0.jpg
wine,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\28.07.22\4088600243962_0_XL.jpg
wine,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/29.09.22/4088600256221_0.jpg
wine,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\25..02.22\4088600290935_0_XL.jpg
wine,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\16.05.22 (1)\4088600325712_0_XL.jpg
wine,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\11.04.23\7350136990601_0_XL.jpg
