category,img_src
chocolate_bars,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/13.02.23/4061463891679_0.jpg
chocolate_bars,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\06.12.22\4088600132327_0_XL.jpg
chocolate_bars,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/01.03.23/7622210497390_0.jpg
chocolate_bars,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\01.06.22\4088600132358_0_XL.jpg
chocolate_bars,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\16.11.21\4088600363639_0_XL.jpg
chocolate_bars,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\15.09.22 (3)\4088600201856_0_XL.jpg
chocolate_bars,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\05.04.22\4088600189345_0_XL.jpg
chocolate_bars,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\05.04.22\4088600189352_0_XL.jpg
chocolate_bars,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/22.09.22 (1)/4088600132334_0.jpg
chocolate_bars,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\06.04.22\4088600193014_0_XL.jpg
chocolate_bars,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\29.03.23\4061462693434_0_XL.jpg
