category,img_src
chocolate_pouches_&_bags,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\19.10.22\7613037051179_0_XL.jpg
chocolate_pouches_&_bags,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/14.03.23/5000159530736_0.jpg
chocolate_pouches_&_bags,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\29.12.21\4088600236469_0_XL.jpg
chocolate_pouches_&_bags,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/16.08.22/5000159530750_0.jpg
chocolate_pouches_&_bags,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\14.01.11\4088600163079_0_XL.jpg
chocolate_pouches_&_bags,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\29.12.21\4088600239736_0_XL.jpg
chocolate_pouches_&_bags,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\14.03.23\5000159530798_0_XL.jpg
chocolate_pouches_&_bags,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\14.01.11\4088600163086_0_XL.jpg
chocolate_pouches_&_bags,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\27.07.21\4088600224886_0_XL.jpg
chocolate_pouches_&_bags,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\17.05.23\4088600163093_0_XL.jpg
chocolate_pouches_&_bags,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/22.09.22 (1)/4088600208732_0.jpg
chocolate_pouches_&_bags,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/22.09.22 (1)/4088600208763_0.jpg
chocolate_pouches_&_bags,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\22.09.22 (1)\4088600208749_0_XL.jpg
chocolate_pouches_&_bags,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/22.09.22 (1)/4088600208756_0.jpg
chocolate_pouches_&_bags,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\14.01.11\4088600224879_0_XL.jpg
chocolate_pouches_&_bags,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\09.11.22\3664346304863_0_XL.jpg
