category,img_src
free-from_&_traditional_sweets,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/02.09.22/5010975040012_0.jpg
free-from_&_traditional_sweets,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\23.03.23\4014400910063_0_XL.jpg
free-from_&_traditional_sweets,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\23.03.23\4014400914696_0_XL.jpg
free-from_&_traditional_sweets,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\23.03.23\4014400913910_0_XL.jpg
free-from_&_traditional_sweets,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/11.11.22/4088600520797_0.jpg
free-from_&_traditional_sweets,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\ALL_RESIZED3\4088600101101_0_XL.png
free-from_&_traditional_sweets,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\ALL_RESIZED3\4088600101118_0_XL.png
free-from_&_traditional_sweets,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\06.04.22\4088600337944_0_XL.jpg
free-from_&_traditional_sweets,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\06.04.22\4088600337951_0_XL.jpg
free-from_&_traditional_sweets,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/10.05.23/4088600556086_0.jpg
free-from_&_traditional_sweets,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\11.02.22(2)\4088600064055_0_XL.jpg
free-from_&_traditional_sweets,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\20.01.22\4088600064154_0_XL.jpg
free-from_&_traditional_sweets,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\20.01.22\4088600064161_0_XL.jpg
