category,img_src
jellies_&_gummy_sweets,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\21.07.22\4088600292731_0_XL.jpg
jellies_&_gummy_sweets,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/14.03.23/5012035927608_0.jpg
jellies_&_gummy_sweets,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/14.03.23/5012035927592_0.jpg
jellies_&_gummy_sweets,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\29.06.21\4088600332024_0_XL.jpg
jellies_&_gummy_sweets,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\06.10.21\5012035960308_0_XL.jpg
jellies_&_gummy_sweets,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\21.07.22\4088600292748_0_XL.jpg
jellies_&_gummy_sweets,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\29.06.21\4088600332017_0_XL.jpg
jellies_&_gummy_sweets,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\06.10.21\4088600049762_0_XL.jpg
jellies_&_gummy_sweets,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/21.07.22/4088600292687_0.jpg
jellies_&_gummy_sweets,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\21.07.22\4088600292670_0_XL.jpg
jellies_&_gummy_sweets,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\29.06.21\4088600332000_0_XL.jpg
jellies_&_gummy_sweets,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\12.10.21(3)\4088600157740_0_XL.jpg
jellies_&_gummy_sweets,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\10.08.21\5012035953911_0_XL.jpg
jellies_&_gummy_sweets,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\10.08.21\5012035954864_0_XL.jpg
jellies_&_gummy_sweets,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/08.11.22/4088600541754_0.jpg
jellies_&_gummy_sweets,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\06.12.22\4088600541617_0_XL.jpg
jellies_&_gummy_sweets,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/18.11.21 REVERSION ERRORS/4088600159966_0.jpg
jellies_&_gummy_sweets,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\ALL_RESIZED3\4088600326238_0_XL.png
jellies_&_gummy_sweets,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/08.11.22/4088600541730_0.jpg
jellies_&_gummy_sweets,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\ALL_RESIZED3\4088600013756_0_XL.png
jellies_&_gummy_sweets,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/08.11.22/4088600541747_0.jpg
jellies_&_gummy_sweets,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\ALL_RESIZED3\4088600013763_0_XL.png
jellies_&_gummy_sweets,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\ALL_RESIZED3\4088600013770_0_XL.png
jellies_&_gummy_sweets,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/11.11.22/4088600540399_0.jpg
jellies_&_gummy_sweets,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/31.10.22/4088600541686_0.jpg
jellies_&_gummy_sweets,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\05.05.23\4088600553160_0_XL.jpg
jellies_&_gummy_sweets,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\24.08.21(2)\4088600274416_0_XL.jpg
