category,img_src
mints,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\12.05.23\4088600516509_0_XL.jpg
mints,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\12.05.23\4088600516615_0_XL.jpg
mints,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\30.06.21\4088600334868_0_XL.jpg
mints,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\04.05.22\4088600033662_0_XL.jpg
mints,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\12.05.23\4088600516622_0_XL.jpg
mints,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\03.05.22\4088600080253_0_XL.jpg
mints,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\ALL_RESIZED3\4088600326238_0_XL.png
mints,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\03.05.22\4088600080260_0_XL.jpg
mints,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\04.05.22\4088600033631_0_XL.jpg
mints,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\03.05.22\4088600080277_0_XL.jpg
mints,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\ALL_RESIZED3\4088600013756_0_XL.png
mints,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\ALL_RESIZED3\4088600013763_0_XL.png
mints,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\ALL_RESIZED3\4088600013770_0_XL.png
