category,img_src
pickled_vegetables,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\07.09.21\4088600247649_0_XL.jpg
pickled_vegetables,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\24.08.22 (2)\4088600341842_0_XL.jpg
pickled_vegetables,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\07.09.21\4088600082943_0_XL.jpg
pickled_vegetables,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\21.07.22\4088600174297_0_XL.jpg
pickled_vegetables,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/24.08.22 (2)/4088600341859_0.jpg
pickled_vegetables,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\23.03.22\4088600275529_0_XL.jpg
pickled_vegetables,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\07.09.21\4088600061092_0_XL.jpg
pickled_vegetables,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\17.04.23\4088600563893_0_XL.jpg
pickled_vegetables,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\07.09.21\4088600061108_0_XL.jpg
pickled_vegetables,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\29.12.22\4088600548333_0_XL.jpg
pickled_vegetables,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\25.04.23\4088600274652_0_XL.jpg
pickled_vegetables,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\06.04.22\4088600298375_0_XL.jpg
pickled_vegetables,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\23.03.22\4088600275512_0_XL.jpg
pickled_vegetables,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/21.07.22/4088600174303_0.jpg
pickled_vegetables,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\27.06.22\4088600499376_0_XL.jpg
