category,img_src
tinned_fruit,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\11.08.22\4088600179131_0_XL.jpg
tinned_fruit,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\03.03.23\4088600173108_0_XL.jpg
tinned_fruit,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\05.05.22 (1)\4088600389738_0_XL.jpg
tinned_fruit,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/24.08.22 (2)/4088600179148_0.jpg
tinned_fruit,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\14.07.22\4088600365060_0_XL.jpg
tinned_fruit,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\18.10.21\4088600389752_0_XL.jpg
tinned_fruit,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\03.03.23\4088600173115_0_XL.jpg
tinned_fruit,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\24.08.22 (2)\4088600365077_0_XL.jpg
tinned_fruit,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/14.12.22/4088600368405_0.jpg
tinned_fruit,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/14.12.22/4088600368399_0.jpg
tinned_fruit,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\18.10.21\4088600389745_0_XL.jpg
