category,img_src
tinned_meats,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\08.09.21\5010431601627_0_XL.jpg
tinned_meats,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\08.09.21\4088600146232_0_XL.jpg
tinned_meats,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\02.08.22\4088600172316_0_XL.jpg
tinned_meats,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\08.09.21\4088600146195_0_XL.jpg
tinned_meats,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\10.09.21 (2)\4088600275994_0_XL.jpg
tinned_meats,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\10.09.21 (2)\4088600342559_0_XL.jpg
tinned_meats,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\18.01.21\4088600460048_0_XL.jpg
tinned_meats,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\02.08.22\4088600172309_0_XL.jpg
tinned_meats,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\08.09.21\4088600128467_0_XL.jpg
tinned_meats,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\09.02.22\4088600342566_0_XL.jpg
tinned_meats,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\08.09.21\4088600128481_0_XL.jpg
tinned_meats,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\08.09.21\4088600128498_0_XL.jpg
tinned_meats,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\08.09.21\4088600276076_0_XL.jpg
tinned_meats,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/22.11.22/5000232825391_0.jpg
