category,img_src
tinned_soups_&_hotpots,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\07.09.21\4088600068367_0_XL.jpg
tinned_soups_&_hotpots,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/23.08.22/4088600068350_0.jpg
tinned_soups_&_hotpots,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\21.07.22\4088600077611_0_XL.jpg
tinned_soups_&_hotpots,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\21.07.22\4088600077628_0_XL.jpg
tinned_soups_&_hotpots,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\02.08.22\4088600068343_0_XL.jpg
tinned_soups_&_hotpots,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\25.10.21\5000157062758_0_XL.jpg
tinned_soups_&_hotpots,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\07.09.21\4088600068374_0_XL.jpg
tinned_soups_&_hotpots,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\25.10.21\5000157065032_0_XL.jpg
tinned_soups_&_hotpots,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\02.08.22\4088600079226_0_XL.jpg
tinned_soups_&_hotpots,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\02.08.22\4088600068381_0_XL.jpg
tinned_soups_&_hotpots,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\07.09.21\4088600352169_0_XL.jpg
tinned_soups_&_hotpots,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\02.08.22\4088600352176_0_XL.jpg
tinned_soups_&_hotpots,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\02.08.22\4088600079219_0_XL.jpg
tinned_soups_&_hotpots,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/09.02.23/4088600112374_0.jpg
tinned_soups_&_hotpots,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\26.01.23\4088600112381_0_XL.jpg
tinned_soups_&_hotpots,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\4088600039466_a70c4f0e4f9f4a32b31b898cb25eafdb_XL.jpg
tinned_soups_&_hotpots,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\26.01.23\4088600042466_0_XL.jpg
tinned_soups_&_hotpots,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\4088600039459_74c352a8e4ad4bf1beade88fa0c370f2_XL.jpg
tinned_soups_&_hotpots,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\4088600042459_b3eefca2369f475fac89c98d26b6130c_XL.jpg
tinned_soups_&_hotpots,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\4088600042473_5e649c0f9c0c412a9648e0748582fa0d_XL.jpg
tinned_soups_&_hotpots,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/09.02.23/4088600042480_0.jpg
tinned_soups_&_hotpots,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\4088600043319_0fec577f0d3f4fecac87f7a8e49fcbfc_XL.jpg
tinned_soups_&_hotpots,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\06.12.22\4088600547091_0_XL.jpg
