category,img_src
apples,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\23.11.21\77866_0_XL.jpg
apples,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\08.10.21\4088600101040_0_XL.jpg
apples,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\20.08.21\4088600149134_0_XL.jpg
apples,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\15.07.21\4088600040646_0_XL.jpg
apples,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\18.06.21\4088600148687_0_XL.jpg
apples,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\03.12.21\4088600148649_0_XL.jpg
apples,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\25.11.21\4088600186580_0_XL.jpg
apples,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\10.09.21\4088600230177_0_XL.jpg
apples,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\ALL_RESIZED3\4088600394350_0_XL.png
apples,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\10.09.21\4088600369143_0_XL.jpg
apples,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\01.11.22\4088600516332_0_XL.jpg
apples,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\4088600175874_f5843592d09f4474b925b20253866067_XL.jpg
apples,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\4088600175881_4b942ebcbdc443bcb76e50a975e675a2_XL.jpg
apples,https://aldprdproductimages.azureedge.net/media/image_not_found.jpg
