category,img_src
berries,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\19.08.21\4088600071398_0_XL.jpg
berries,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\20.08.21\4088600121987_0_XL.jpg
berries,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\ALL_RESIZED3\4088600192574_0_XL.png
berries,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\10.09.21\4088600192864_0_XL.jpg
berries,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/04.02.2022/4061462252266_0.jpg
berries,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\10.09.21\4088600192567_0_XL.jpg
berries,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\24.08.21(2)\4088600192390_0_XL.jpg
berries,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\09.06.22\4088600264967_0_XL.jpg
berries,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\24.04.23\4088600269344_0_XL.jpg
berries,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\ALL_RESIZED3\4088600192659_0_XL.png
berries,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\ALL_RESIZED3\4088600192819_0_XL.png
berries,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/20.01.22/52073_0.jpg
berries,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\ALL_RESIZED3\4088600081472_0_XL.png
