category,img_src
cauliflower_&_broccoli,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\20.08.21\4088600184746_0_XL.jpg
cauliflower_&_broccoli,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\30.06 URL UPLOAD\4088600464619_0_XL.jpg
cauliflower_&_broccoli,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\22.11.21\4088600112817_0_XL.jpg
cauliflower_&_broccoli,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\08.09.21(2)\4088600017532_0_XL.jpg
cauliflower_&_broccoli,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\03.09.21\4088600184937_0_XL.jpg
cauliflower_&_broccoli,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/ALL_RESIZED3/4088600184814_0.png
cauliflower_&_broccoli,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\03.09.21\4088600184777_0_XL.jpg
cauliflower_&_broccoli,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\24.08.21(2)\4088600184739_0_XL.jpg
cauliflower_&_broccoli,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\4088600184890_36459243947144b8b88bfece3991fe81_XL.jpg
cauliflower_&_broccoli,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\4088600184869_c9ec9f7561bb4734b37fc4dc7432af4e_XL.jpg
cauliflower_&_broccoli,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\ALL_RESIZED3\4088600184845_0_XL.png
