category,img_src
citrus,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\07.10.21 (b)\4088600023212_0_XL.jpg
citrus,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\20.08.21\4088600023281_0_XL.jpg
citrus,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\19.08.21\4088600081250_0_XL.jpg
citrus,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\20.08.21\4088600443997_0_XL.jpg
citrus,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\22.10.21\4088600187693_0_XL.jpg
citrus,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\19.08.21\4088600023007_0_XL.jpg
citrus,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\07.10.21 (b)\4088600023014_0_XL.jpg
citrus,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\07.10.21 (b)\4088600187686_0_XL.jpg
citrus,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\07.10.21 (b)\4088600023069_0_XL.jpg
citrus,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\808368_865bdadb125446ef8c8aa6e1be4b4dd8_XL.jpg
citrus,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\02.05.23\828445_1_XL.jpg
citrus,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\19.08.21\4088600081380_0_XL.jpg
citrus,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\05.05.22 (1)\4088600013022_0_XL.jpg
