category,img_src
legumes,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\ALL_RESIZED3\4088600266329_0_XL.png
legumes,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/09.11.22/4088600192963_0.jpg
legumes,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\04.05.23\4088600193250_0_XL.jpg
legumes,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\08.09.21\4088600193021_0_XL.jpg
legumes,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\4088600230764_53fc14643fc34b278a203c9e63f8f5ab_XL.jpg
legumes,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\24.01.23\4088600081212_0_XL.jpg
legumes,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\14.11.22\4088600330907_0_XL.jpg
legumes,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\10.09.21\4088600266435_0_XL.jpg
legumes,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\ALL_RESIZED3\4088600091549_0_XL.png
legumes,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\ALL_RESIZED3\4088600266299_0_XL.png
legumes,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\12.07.22\821235_0_XL.jpg
legumes,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\10.09.21\87191_0_XL.jpg
legumes,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\ALL_RESIZED3\712300_0_XL.png
