category,img_src
lettuces,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\10.09.21\4088600078793_0_XL.jpg
lettuces,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\09.07.21\4088600387260_0_XL.jpg
lettuces,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/08.08.22/4088600524443_0.jpg
lettuces,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/22.11.22/4088600076492_0.jpg
lettuces,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\ALL_RESIZED3\4088600387284_0_XL.png
lettuces,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\09.07.21\4088600166186_0_XL.jpg
lettuces,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\05.10.22\4088600166391_0_XL.jpg
lettuces,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\20.08.21\4088600166209_0_XL.jpg
lettuces,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\10.12.21\4088600209623_0_XL.jpg
lettuces,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\18.06.21\4088600166223_0_XL.jpg
