category,img_src
onions_&_leeks,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\4088600185071_c0db079494dc4019bd6ebb19ebef0ee5_XL.jpg
onions_&_leeks,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\19.08.21\4088600133546_0_XL.jpg
onions_&_leeks,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\ALL_RESIZED3\4088600366333_0_XL.png
onions_&_leeks,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\22.09.22 (1)\4088600133560_0_XL.jpg
onions_&_leeks,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\18.11.21\4088600185125_0_XL.jpg
onions_&_leeks,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\20.08.21\4088600185118_0_XL.jpg
onions_&_leeks,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\10.09.21 (2)\4088600364636_0_XL.jpg
onions_&_leeks,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\26.01.22\4088600109275_0_XL.jpg
onions_&_leeks,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\18.11.21\4088600109299_0_XL.jpg
onions_&_leeks,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\04.05.23\4061463479617_0_XL.jpg
onions_&_leeks,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\02.11.2021\4088600133577_0_XL.jpg
onions_&_leeks,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\24.08.21(2)\4088600185101_0_XL.jpg
onions_&_leeks,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\ALL_RESIZED3\81751_0_XL.png
onions_&_leeks,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\28.10.21\4088600104300_0_XL.jpg
onions_&_leeks,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\08.12.21\4088600064390_0_XL.jpg
