category,img_src
peppers,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\11.07.22\4088600084398_0_XL.jpg
peppers,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\10.05.22\810989_1_XL.jpg
peppers,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\21.04.23\4088600191867_0_XL.jpg
peppers,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\4088600193373_a309325d70f545ba9f6113651194c527_XL.jpg
peppers,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\4088600469751_4299a035be0a4c2b9b94224f25d04e66_XL.jpg
peppers,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\20.04.23\4088600334233_0_XL.jpg
peppers,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\08.09.21(2)\4088600354934_0_XL.jpg
peppers,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/05.09.22/4061463919489_0.jpg
peppers,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\ALL_RESIZED3\4088600354941_0_XL.png
peppers,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\ALL_RESIZED3\4088600354958_0_XL.png
peppers,https://aldprdproductimages.azureedge.net/media/image_not_found.jpg
