category,img_src
potatoes,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\19.08.21\700993_0_XL.jpg
potatoes,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\08.09.21\4088600193021_0_XL.jpg
potatoes,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\17.03.23\4088600013459_0_XL.jpg
potatoes,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\03.03.23\4088600188751_0_XL.jpg
potatoes,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\23.03.23\4088600188638_0_XL.jpg
potatoes,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\03.03.23\4088600188720_0_XL.jpg
potatoes,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\08.09.21(2)\4088600188690_0_XL.jpg
potatoes,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/10.05.22/4088600487885_0.jpg
potatoes,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\19.08.21\4088600069852_0_XL.jpg
potatoes,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\23.03.23\4088600188669_0_XL.jpg
potatoes,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\10.09.21\5060110480005_0_XL.jpg
potatoes,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\19.08.21\4088600149172_0_XL.jpg
potatoes,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\17.03.23\4088600086576_0_XL.jpg
potatoes,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\17.03.23\4088600188607_0_XL.jpg
potatoes,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\4088600014555_08ccf5d1ed254b28a286ccd6a2dff004_XL.jpg
potatoes,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\10.09.21\4088600278414_0_XL.jpg
potatoes,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\12.07.22\821235_0_XL.jpg
potatoes,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\08.09.21(2)\83131_0_XL.jpg
