category,img_src
prepared_vegetables,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\10.09.21\4088600414904_0_XL.jpg
prepared_vegetables,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\18.08.21\4088600104751_0_XL.jpg
prepared_vegetables,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\24.08.21(2)\4088600193274_0_XL.jpg
prepared_vegetables,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\04.05.23\4088600193250_0_XL.jpg
prepared_vegetables,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\18.08.21\4088600230030_0_XL.jpg
prepared_vegetables,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\18.08.21\4088600148311_0_XL.jpg
prepared_vegetables,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\726255_2481d2de9fb14d8d9c5f0f064e10ffe3_XL.jpg
prepared_vegetables,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\18.08.21\4088600148304_0_XL.jpg
prepared_vegetables,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\18.08.21\4088600144207_0_XL.jpg
prepared_vegetables,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\29.03.23\4088600149370_0_XL.jpg
prepared_vegetables,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\17.01.22\4088600470054_0_XL.jpg
prepared_vegetables,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\03.12.21\4088600148274_0_XL.jpg
prepared_vegetables,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\21.04.23\4088600272078_0_XL.jpg
prepared_vegetables,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\19.08.21\4088600149172_0_XL.jpg
prepared_vegetables,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\19.08.21\4088600295107_0_XL.jpg
prepared_vegetables,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\07.10.21 (b)\4088600148366_0_XL.jpg
prepared_vegetables,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\10.09.21\4088600278414_0_XL.jpg
prepared_vegetables,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\05.10.22\4088600166391_0_XL.jpg
prepared_vegetables,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\10.12.21\4088600209623_0_XL.jpg
prepared_vegetables,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\30.06 URL UPLOAD\4088600295190_0_XL.jpg
prepared_vegetables,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\10.09.21\4088600295084_0_XL.jpg
prepared_vegetables,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\31.08.21\4088600418865_0_XL.jpg
prepared_vegetables,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\31.08.21\4088600418841_0_XL.jpg
prepared_vegetables,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\31.08.21\4088600418872_0_XL.jpg
prepared_vegetables,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/26.08.21/4088600418858_0.jpg
prepared_vegetables,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\17.01.22\4088600478449_0_XL.jpg
