category,img_src
snacks_&_prepared_vegetables,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\10.09.21\4088600414904_0_XL.jpg
snacks_&_prepared_vegetables,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\18.08.21\4088600104751_0_XL.jpg
snacks_&_prepared_vegetables,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\12.04.23\4088600087672_0_XL.jpg
snacks_&_prepared_vegetables,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\11.02.22\4088600087375_0_XL.jpg
snacks_&_prepared_vegetables,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\24.08.21(2)\4088600193274_0_XL.jpg
snacks_&_prepared_vegetables,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/19.08.22/4088600087429_0.jpg
snacks_&_prepared_vegetables,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\18.08.21\4088600230030_0_XL.jpg
snacks_&_prepared_vegetables,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/17.01.22/4088600087573_0.jpg
snacks_&_prepared_vegetables,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/17.01.22/4088600408699_0.jpg
snacks_&_prepared_vegetables,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\18.08.21\4088600148311_0_XL.jpg
snacks_&_prepared_vegetables,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\18.08.21\4088600148304_0_XL.jpg
snacks_&_prepared_vegetables,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\03.02.23\4088600409962_0_XL.jpg
snacks_&_prepared_vegetables,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\18.08.21\4088600144207_0_XL.jpg
snacks_&_prepared_vegetables,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\29.03.23\4088600149370_0_XL.jpg
snacks_&_prepared_vegetables,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\03.02.23\4088600414584_0_XL.jpg
snacks_&_prepared_vegetables,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\17.01.22\4088600470054_0_XL.jpg
snacks_&_prepared_vegetables,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\03.12.21\4088600148274_0_XL.jpg
snacks_&_prepared_vegetables,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\21.04.23\4088600272078_0_XL.jpg
snacks_&_prepared_vegetables,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\10.09.21\4088600276663_0_XL.jpg
snacks_&_prepared_vegetables,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\19.08.21\4088600295107_0_XL.jpg
snacks_&_prepared_vegetables,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/19.08.22/4088600087610_0.jpg
snacks_&_prepared_vegetables,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\09.06.22\4088600087658_0_XL.jpg
snacks_&_prepared_vegetables,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\07.10.21 (b)\4088600148366_0_XL.jpg
snacks_&_prepared_vegetables,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\10.09.21\4088600295084_0_XL.jpg
snacks_&_prepared_vegetables,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\31.08.21\4088600418865_0_XL.jpg
snacks_&_prepared_vegetables,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\31.08.21\4088600418841_0_XL.jpg
snacks_&_prepared_vegetables,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\31.08.21\4088600418872_0_XL.jpg
snacks_&_prepared_vegetables,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/26.08.21/4088600418858_0.jpg
snacks_&_prepared_vegetables,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\17.01.22\4088600478449_0_XL.jpg
snacks_&_prepared_vegetables,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\02.07.21\4088600087412_0_XL.jpg
