category,img_src
tomatoes,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\05.11.21\4088600453644_0_XL.jpg
tomatoes,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\19.08.21\4088600253916_0_XL.jpg
tomatoes,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\08.09.21(2)\4088600361543_0_XL.jpg
tomatoes,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\ALL_RESIZED3\4088600191928_0_XL.png
tomatoes,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\10.05.22\4088600359533_0_XL.jpg
tomatoes,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\08.09.21(2)\4088600411286_0_XL.jpg
tomatoes,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\ALL_RESIZED3\4088600395265_0_XL.png
tomatoes,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\4088600191904_c4e1a1c70e2647d78adb00f82f13b47a_XL.jpg
tomatoes,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\08.09.21(2)\4088600253862_0_XL.jpg
tomatoes,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\4088600406671_38ddd7c531e444268d5b0f5c1be28d53_XL.jpg
tomatoes,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\ALL_RESIZED3\4088600375465_0_XL.png
tomatoes,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\10.05.22\4088600462783_0_XL.jpg
tomatoes,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\10.05.22\4088600361581_0_XL.jpg
tomatoes,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\25.04.22\4088600478562_0_XL.jpg
tomatoes,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\4088600080390_64bb848502c64fcbba0a5e63e776d187_XL.jpg
tomatoes,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\24.01.21\4088600462776_0_XL.jpg
tomatoes,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\4088600080383_c236f19db18b44fea29cb8b657f674f5_XL.jpg
tomatoes,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\24.06.22\60888_0_XL.jpg
