category,img_src
bacon,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\25.05.22\4088600217871_0_XL.jpg
bacon,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\14.06.22\4088600325705_0_XL.jpg
bacon,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\25.05.22\4088600217888_0_XL.jpg
bacon,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\25.05.22\4088600389356_0_XL.jpg
bacon,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\28.03.22\4088600222721_0_XL.jpg
bacon,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\28.03.22\4088600222714_0_XL.jpg
bacon,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\05.05.22 (1)\4088600325767_0_XL.jpg
bacon,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/23.03.22/4088600074085_0.jpg
bacon,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\05.05.22 (1)\4088600325866_0_XL.jpg
bacon,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\25.05.22\4088600389363_0_XL.jpg
bacon,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\25..02.22\4088600325774_0_XL.jpg
bacon,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\16.03.22\4088600074108_0_XL.jpg
bacon,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\14.04.22\4088600009056_0_XL.jpg
bacon,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\16.03.22\4088600074115_0_XL.jpg
bacon,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/05.10.22/4088600327754_0.jpg
bacon,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\26.10.22 (2)\4088600074764_0_XL.jpg
bacon,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/05.10.22/4088600327761_0.jpg
bacon,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\31.10.22\4088600074771_0_XL.jpg
bacon,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/05.10.22/4088600327778_0.jpg
bacon,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\19.05.23\4088600392646_0_XL.jpg
bacon,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\13.02.23 (1)\4088600074573_0_XL.jpg
bacon,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\12.07.21\4088600392653_0_XL.jpg
bacon,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\09.06.21\4088600392660_0_XL.jpg
bacon,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\14.06.22\4088600222707_0_XL.jpg
bacon,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\05.10.22\4088600327785_0_XL.jpg
bacon,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\24.04.23\4088600541068_0_XL.jpg
bacon,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\26.10.22 (2)\4088600074740_0_XL.jpg
bacon,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\26.10.22 (2)\4088600074757_0_XL.jpg
bacon,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\11.06.21\4088600074566_0_XL.jpg
bacon,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\29.03.23\4088600442129_0_XL.jpg
bacon,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\09.06.21\4088600392677_0_XL.jpg
