category,img_src
beef,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/09.11.22/4088600134475_0.jpg
beef,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\03.11.22\4088600475400_0_XL.jpg
beef,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\12.01.23\2807650000000_0_XL.jpg
beef,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/09.11.22/4088600334479_0.jpg
beef,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/21.10.22/4088600174785_0.jpg
beef,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\25.04.23\4088600135427_0_XL.jpg
beef,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\09.06.22\4088600397375_0_XL.jpg
beef,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\19.04.23\4088600135335_0_XL.jpg
beef,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\4088600325880_292612c565c54eedb34b7cdadd8d1c5c_XL.jpg
beef,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\06.12.22\4088600134772_0_XL.jpg
beef,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/08.11.22/4088600090573_0.jpg
beef,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/28.03.22/4088600061344_0.jpg
beef,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/09.11.22/4088600176017_0.jpg
beef,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\11.04.212\2808030000000_0_XL.jpg
beef,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/19.04.22(1)/2811830000000_0.jpg
beef,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\03.02.23\4088600278858_0_XL.jpg
beef,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\29.11.22\2813840000000_0_XL.jpg
beef,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\24.04.23\4088600562728_0_XL.jpg
beef,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\24.04.23\4088600393711_0_XL.jpg
beef,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/28.12.22/4088600026251_0.jpg
beef,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\09.11.22\4088600554907_0_XL.jpg
beef,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/01.03.23/4088600556802_0.jpg
beef,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\20.04.23\4088600564814_0_XL.jpg
beef,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\09.05.23\4088600562094_0_XL.jpg
beef,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\02.11.22\4088600033174_0_XL.jpg
beef,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/28.12.22/4088600170664_0.jpg
beef,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\13.12.21\4088600458151_0_XL.jpg
beef,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/28.03.22/4088600045634_0.jpg
beef,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\25.04.23\4088600134789_0_XL.jpg
beef,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\26.04.23\4088600517131_0_XL.jpg
beef,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\03.05.22\4088600128696_0_XL.jpg
beef,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/10.05.23/4088600563398_0.jpg
beef,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\25.04.22\4088600025728_0_XL.jpg
beef,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/22.11.22/4088600033181_0.jpg
beef,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/10.05.23/4088600563039_0.jpg
beef,https://aldprdproductimages.azureedge.net/media/image_not_found.jpg
beef,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\10.03.23\4088600555744_0_XL.jpg
beef,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\16.09.22 (2)\2806630000000_0_XL.jpg
beef,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\11.03.22\4088600118031_0_XL.jpg
beef,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\24.04.23\4088600134741_0_XL.jpg
