category,img_src
chicken,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\04.05.23\4088600503585_0_XL.jpg
chicken,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/13.01.23/4088600392370_0.jpg
chicken,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/31.10.22/4088600426105_0.jpg
chicken,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\13.01.23\4088600392363_0_XL.jpg
chicken,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\10.05.23\4061459189209_0_XL.jpg
chicken,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\04.05.23\4088600390826_0_XL.jpg
chicken,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\15.11.22\4088600026497_0_XL.jpg
chicken,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\09.12.22\4088600255620_0_XL.jpg
chicken,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/12.01.23/4088600386133_0.jpg
chicken,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\05.10.22\4088600168883_0_XL.jpg
chicken,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\10.05.23\4061464666214_0_XL.jpg
chicken,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/13.04.23 (2)/4061459186635_0.jpg
chicken,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\07.10.21 (b)\4088600333915_0_XL.jpg
chicken,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\21.10.22\4088600144948_0_XL.jpg
chicken,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/21.07.22/4088600144955_0.jpg
chicken,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/28.03.23/4061459274448_0.jpg
chicken,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/09.11.22/4088600146560_0.jpg
chicken,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/13.01.23/4088600541099_0.jpg
chicken,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\15.11.22\4088600027104_0_XL.jpg
chicken,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\10.05.23\4061459304282_0_XL.jpg
chicken,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\13.01.23\4088600541082_0_XL.jpg
chicken,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\27.09.21\4088600386065_0_XL.jpg
chicken,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\14.04.23\5016901002727_0_XL.jpg
chicken,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\24.04.23\5016901002826_0_XL.jpg
chicken,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/13.09.22/4088600147345_0.jpg
chicken,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\10.05.23\4061459300369_0_XL.jpg
chicken,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\10.05.23\4061459188455_0_XL.jpg
chicken,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\10.05.23\4061459304305_0_XL.jpg
chicken,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\15.11.22\4088600027029_0_XL.jpg
chicken,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\10.05.23\4061464122420_0_XL.jpg
chicken,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/28.03.23/4061464107137_0.jpg
chicken,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\15.11.22\4088600238432_0_XL.jpg
chicken,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\4061459196382_624c1d90f44445018599e5277064ba2f_XL.jpg
chicken,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\14.04.23\4088600321530_0_XL.jpg
chicken,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\10.05.23\4061459188783_0_XL.jpg
chicken,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\10.05.23\4061459308013_0_XL.jpg
chicken,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/10.05.23/4061464665873_0.jpg
chicken,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\21.10.22\4088600437637_0_XL.jpg
chicken,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\21.10.22\4088600238661_0_XL.jpg
chicken,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\26.09.22\4088600257419_0_XL.jpg
