category,img_src
lamb,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\25.04.23\4088600522630_0_XL.jpg
lamb,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\23.03.23\4088600214627_0_XL.jpg
lamb,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\21.10.22\4088600020273_0_XL.jpg
lamb,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\23.03.22\2802720000000_0_XL.jpg
lamb,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/07.12.22/4088600020266_0.jpg
lamb,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\22.03\2810440000000_0_XL.jpg
lamb,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\15.03.22\2812670000000_0_XL.jpg
lamb,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\21.09.21\4088600434872_0_XL.jpg
lamb,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\16.02.23\2815210000000_0_XL.jpg
lamb,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\09.05.23\4088600562056_0_XL.jpg
lamb,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/16.02.23/4088600556598_0.jpg
lamb,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\02.09.21\2810180000000_0_XL.jpg
lamb,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\09.05.23\4088600562063_0_XL.jpg
lamb,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\16.02.23\4088600556581_0_XL.jpg
lamb,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\13.02.23\4088600561226_0_XL.jpg
lamb,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\13.02.23\4088600561233_0_XL.jpg
lamb,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/01.03.23/2815380000000_0.jpg
