category,img_src
pork,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\20.04.23\4088600138886_0_XL.jpg
pork,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/01.03.23/4061463896759_0.jpg
pork,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\18.04.23\4088600133997_0_XL.jpg
pork,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\20.04.23\2812180000000_0_XL.jpg
pork,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\18.04.23\4088600286822_0_XL.jpg
pork,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\20.04.23\4088600261430_0_XL.jpg
pork,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\20.04.23\4088600138640_0_XL.jpg
pork,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\20.04.23\2813350000000_0_XL.jpg
pork,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\18.04.23\4088600039213_0_XL.jpg
pork,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/01.03.23/4061463896865_0.jpg
pork,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\21.04.23\4088600559247_0_XL.jpg
pork,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\20.04.23\4088600138619_0_XL.jpg
pork,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\20.04.23\2807350000000_0_XL.jpg
pork,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\19.04.23\4088600261362_0_XL.jpg
pork,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\20.04.23\4088600224596_0_XL.jpg
pork,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\26.04.23\4088600559391_0_XL.jpg
pork,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\20.04.23\4088600138701_0_XL.jpg
pork,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\20.04.23\4088600548845_0_XL.jpg
pork,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\16.09.22 (2)\2813320000000_0_XL.jpg
pork,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/26.04.23/4088600559407_0.jpg
pork,https://aldprdproductimages.azureedge.net/media/image_not_found.jpg
pork,https://aldprdproductimages.azureedge.net/media/image_not_found.jpg
pork,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\20.04.23\4088600138725_0_XL.jpg
pork,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\10.05.23\4061464656284_0_XL.jpg
pork,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\08.02.22 AWARD WINNERS\4088600071084_0_XL.jpg
pork,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\10.05.23\4061464656444_0_XL.jpg
pork,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\19.08.21\4088600035543_0_XL.jpg
pork,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\19.08.21\4088600035581_0_XL.jpg
pork,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\18.01.23\4088600035550_0_XL.jpg
pork,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\23.08.21\4088600396316_0_XL.jpg
pork,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\20.04.23\2812120000000_0_XL.jpg
pork,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/27.10.22/4088600520803_0.jpg
pork,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\21.10.22\4088600532271_0_XL.jpg
