category,img_src
sausages,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/09.03.23/4088600547527_0.jpg
sausages,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/27.10.22/4088600547480_0.jpg
sausages,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/26.09.22/4088600552453_0.jpg
sausages,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\17.04.23\4088600547503_0_XL.jpg
sausages,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\28.10.22\4088600547510_0_XL.jpg
sausages,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/08.02.23/4088600449821_0.jpg
sausages,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\09.03.23\4088600547329_0_XL.jpg
sausages,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\27.10.22\4088600547497_0_XL.jpg
sausages,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/04.02.2022/4088600054568_0.jpg
sausages,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\16.02.23\4088600547312_0_XL.jpg
sausages,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\11.04.212\4088600490120_0_XL.jpg
sausages,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\10.03.23\4088600018072_0_XL.jpg
sausages,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\05.08.21\4088600385358_0_XL.jpg
sausages,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\04.02.2022\4088600054551_0_XL.jpg
sausages,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/21.10.22/4088600552491_0.jpg
sausages,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\11.05.23\5060185541946_0_XL.jpg
sausages,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\03.05.23\4088600547336_0_XL.jpg
sausages,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\20.01.23\5010474005611_0_XL.jpg
sausages,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/02.02.23/4088600027180_0.jpg
sausages,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\27.04.23\4088600559551_0_XL.jpg
sausages,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\24.11.21\4088600027197_0_XL.jpg
sausages,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\06.10.21 AWARD WINNERS BADGES\4088600041810_0_XL.jpg
sausages,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\12.05.23\4061464669352_0_XL.jpg
sausages,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\12.05.23\4061464669345_0_XL.jpg
sausages,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\27.04.23\4088600559544_0_XL.jpg
sausages,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\08.09.21(2)\4088600180434_0_XL.jpg
sausages,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\12.05.22\50339518_0_XL.jpg
sausages,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/08.08.22/4088600100876_0.jpg
sausages,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/01.07.22/4088600101002_0.jpg
sausages,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\29.06.22\4088600101019_0_XL.jpg
sausages,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\16.05.23\4088600197920_0_XL.jpg
sausages,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\22.05.23\4088600392639_0_XL.jpg
sausages,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\08.08.22\4088600100869_0_XL.jpg
sausages,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/09.02.23/4088600328058_0.jpg
sausages,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\08.09.21(2)\4088600138213_0_XL.jpg
sausages,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/09.02.23/4088600328065_0.jpg
sausages,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/09.02.23/4088600551937_0.jpg
sausages,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\14.04.23\5060004214105_0_XL.jpg
sausages,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\16.02.23\4088600041773_0_XL.jpg
sausages,https://aldprdproductimages.azureedge.net/media/image_not_found.jpg
