category,img_src
frozen_ready_meals,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\10.01.21\4088600439334_0_XL.jpg
frozen_ready_meals,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\11.08.21(2)\4088600131634_0_XL.jpg
frozen_ready_meals,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\19.08.22\4088600193687_0_XL.jpg
frozen_ready_meals,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\10.01.21\4088600439341_0_XL.jpg
frozen_ready_meals,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\30.06 URL UPLOAD\4088600420042_0_XL.jpg
frozen_ready_meals,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\13.05.22\4088600494517_0_XL.jpg
frozen_ready_meals,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\4061463991898_8bf0bafa49f3448e96af096e048555e9_XL.jpg
frozen_ready_meals,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\4061463991836_c13e6ba76eed4309acbf849fc148fb3a_XL.jpg
frozen_ready_meals,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\4061463991874_02df732d1be04b189c9feb333ac75c17_XL.jpg
frozen_ready_meals,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\11.08.21(2)\4088600069920_0_XL.jpg
frozen_ready_meals,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\13.05.22\4088600494500_0_XL.jpg
frozen_ready_meals,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\11.08.21(2)\4088600052755_0_XL.jpg
frozen_ready_meals,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\11.08.21(2)\4088600052762_0_XL.jpg
frozen_ready_meals,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\11.08.21(2)\4088600161853_0_XL.jpg
frozen_ready_meals,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\11.08.21(2)\4088600021577_0_XL.jpg
frozen_ready_meals,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\11.08.21(2)\4088600069937_0_XL.jpg
frozen_ready_meals,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\08.09.21(2)\4088600234533_0_XL.jpg
frozen_ready_meals,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\13.05.22\4088600494524_0_XL.jpg
frozen_ready_meals,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\ALL_RESIZED3\4088600233130_0_XL.png
frozen_ready_meals,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\08.09.21(2)\4088600234540_0_XL.jpg
frozen_ready_meals,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\08.09.21(2)\4088600234267_0_XL.jpg
frozen_ready_meals,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\08.09.21(2)\4088600380018_0_XL.jpg
frozen_ready_meals,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\26.04.23\4088600556116_0_XL.jpg
frozen_ready_meals,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\08.09.21(2)\4088600380025_0_XL.jpg
