category,img_src
pizzas_&_garlic_bread,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\26.07.22\4088600149684_0_XL.jpg
pizzas_&_garlic_bread,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\04.11.21\4088600374383_0_XL.jpg
pizzas_&_garlic_bread,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\04.11.21\4088600262444_0_XL.jpg
pizzas_&_garlic_bread,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\04.11.21\4088600285825_0_XL.jpg
pizzas_&_garlic_bread,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\04.11.21\4088600264479_0_XL.jpg
pizzas_&_garlic_bread,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\04.11.21\4088600198156_0_XL.jpg
pizzas_&_garlic_bread,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/16.11.22/4088600522920_0.jpg
pizzas_&_garlic_bread,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\12.05.22\5019312081794_0_XL.jpg
pizzas_&_garlic_bread,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\17.10.22\4088600522906_0_XL.jpg
pizzas_&_garlic_bread,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\04.11.21\4088600132471_0_XL.jpg
pizzas_&_garlic_bread,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\12.05.22\5019312081817_0_XL.jpg
pizzas_&_garlic_bread,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\17.10.22\4088600522913_0_XL.jpg
pizzas_&_garlic_bread,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\04.11.21\4088600132464_0_XL.jpg
pizzas_&_garlic_bread,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\25.04.22\4088600489216_0_XL.jpg
pizzas_&_garlic_bread,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/13.12.22/5011003000237_0.jpg
pizzas_&_garlic_bread,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\19.05.22\4088600489377_0_XL.jpg
pizzas_&_garlic_bread,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\22.09.22 (1)\4088600540498_0_XL.jpg
pizzas_&_garlic_bread,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\12.07.22\4088600524702_0_XL.jpg
pizzas_&_garlic_bread,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/22.09.22 (1)/4088600540504_0.jpg
pizzas_&_garlic_bread,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/17.11.22/4088600520827_0.jpg
pizzas_&_garlic_bread,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\06.07.22\4088600128429_0_XL.jpg
pizzas_&_garlic_bread,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\12.07.22\4088600523750_0_XL.jpg
pizzas_&_garlic_bread,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\13.12.22\5011003046389_0_XL.jpg
pizzas_&_garlic_bread,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\12.05.22\4088600495057_0_XL.jpg
pizzas_&_garlic_bread,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\04.11.21\4088600245928_0_XL.jpg
pizzas_&_garlic_bread,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\23.09.21\4088600422336_0_XL.jpg
pizzas_&_garlic_bread,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\04.11.21\4088600245904_0_XL.jpg
pizzas_&_garlic_bread,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\10.01.21\4088600398075_0_XL.jpg
pizzas_&_garlic_bread,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\12.05.22\4088600495033_0_XL.jpg
pizzas_&_garlic_bread,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\29.03.23\4088600556468_0_XL.jpg
pizzas_&_garlic_bread,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/13.05.22/4088600495040_0.jpg
pizzas_&_garlic_bread,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\04.11.21\4088600325941_0_XL.jpg
pizzas_&_garlic_bread,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\29.03.23\4088600556475_0_XL.jpg
pizzas_&_garlic_bread,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\10.01.21\4088600398068_0_XL.jpg
pizzas_&_garlic_bread,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\10.01.21\4088600398051_0_XL.jpg
pizzas_&_garlic_bread,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\29.03.23\4088600556451_0_XL.jpg
pizzas_&_garlic_bread,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/22.09.22 (1)/4088600496023_0.jpg
pizzas_&_garlic_bread,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\23.09.21\4088600422329_0_XL.jpg
pizzas_&_garlic_bread,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\15.08.22\4088600520810_0_XL.jpg
pizzas_&_garlic_bread,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\04.11.21\4088600207032_0_XL.jpg
