category,img_src
snacks_&_pies,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\08.09.21(2)\4088600030722_0_XL.jpg
snacks_&_pies,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\16.03.23\4088600315089_0_XL.jpg
snacks_&_pies,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\11.08.21(2)\4088600398907_0_XL.jpg
snacks_&_pies,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\28.10.22\4088600199979_0_XL.jpg
snacks_&_pies,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\11.08.21(2)\4088600046204_0_XL.jpg
snacks_&_pies,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\16.11.21\4088600199986_0_XL.jpg
snacks_&_pies,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\11.08.21(2)\4088600046198_0_XL.jpg
snacks_&_pies,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\03.03.23\4088600483481_0_XL.jpg
snacks_&_pies,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\08.09.21\4088600030692_0_XL.jpg
snacks_&_pies,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\19.08.22\4088600193687_0_XL.jpg
snacks_&_pies,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\03.03.23\4088600483474_0_XL.jpg
snacks_&_pies,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\21.03.23\4088600517148_0_XL.jpg
snacks_&_pies,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\12.04.23\4061464540996_0_XL.jpg
snacks_&_pies,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\11.08.21(2)\4088600331324_0_XL.jpg
snacks_&_pies,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\12.04.23\4061464541009_0_XL.jpg
snacks_&_pies,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\12.04.23\4061464541016_0_XL.jpg
snacks_&_pies,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/13.09.22/4088600310367_0.jpg
snacks_&_pies,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\13.09.22\4088600540979_0_XL.jpg
snacks_&_pies,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\30.09.21\4088600398914_0_XL.jpg
snacks_&_pies,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\08.09.21(2)\4088600030708_0_XL.jpg
snacks_&_pies,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\11.08.21(2)\5023823004807_0_XL.jpg
snacks_&_pies,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/19.04.23/4061464551480_0.jpg
snacks_&_pies,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\19.04.23\4061464551473_0_XL.jpg
snacks_&_pies,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\06.05.22\5023823006023_0_XL.jpg
snacks_&_pies,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\10.05.23\4061464643819_0_XL.jpg
snacks_&_pies,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/10.05.23/4061464643703_0.jpg
snacks_&_pies,https://aldprdproductimages.azureedge.net/media/image_not_found.jpg
