category,img_src
desserts_&_pastries,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\11.08.21(2)\4088600164175_0_XL.jpg
desserts_&_pastries,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\14.10.21\4088600412177_0_XL.jpg
desserts_&_pastries,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\14.10.21\4088600412184_0_XL.jpg
desserts_&_pastries,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/11.11.22/4088600528878_0.jpg
desserts_&_pastries,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\08.09.21(2)\4088600125978_0_XL.jpg
desserts_&_pastries,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\11.08.21(2)\4088600096391_0_XL.jpg
desserts_&_pastries,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\11.08.21(2)\4088600055664_0_XL.jpg
desserts_&_pastries,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\11.08.21(2)\4088600140391_0_XL.jpg
desserts_&_pastries,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\11.03.22\4088600475073_0_XL.jpg
desserts_&_pastries,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\11.08.21(2)\4088600231631_0_XL.jpg
desserts_&_pastries,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\27.01.22\4088600460352_0_XL.jpg
desserts_&_pastries,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\11.03.22\4088600475097_0_XL.jpg
desserts_&_pastries,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\27.01.22\4088600460345_0_XL.jpg
desserts_&_pastries,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\11.03.22\4088600475080_0_XL.jpg
desserts_&_pastries,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\17.10.22\5037173102984_0_XL.jpg
desserts_&_pastries,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\04.10.22\5037173102991_0_XL.jpg
