category,img_src
ice_cream,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\05.08.22\4088600042978_0_XL.jpg
ice_cream,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\13.09.21\4088600294599_0_XL.jpg
ice_cream,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\25.10.21\4088600422732_0_XL.jpg
ice_cream,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/02.09.22/4088600399034_0.jpg
ice_cream,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\08.08.22\4088600275864_0_XL.jpg
ice_cream,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\08.09.21(2)\4088600294582_0_XL.jpg
ice_cream,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\06.10.21\4088600007304_0_XL.jpg
ice_cream,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\08.08.22\4088600275840_0_XL.jpg
ice_cream,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\05.05.23\4088600556369_0_XL.jpg
ice_cream,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\05.05.23\4088600556345_0_XL.jpg
ice_cream,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\12.10.22\4088600537788_0_XL.jpg
ice_cream,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\10.09.21 (2)\4088600409474_0_XL.jpg
ice_cream,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\02.09.22\4088600399058_0_XL.jpg
ice_cream,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/04.10.22/4088600534015_0.jpg
ice_cream,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/02.09.22/4088600399041_0.jpg
ice_cream,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\06.10.21\4088600108483_0_XL.jpg
ice_cream,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\11.08.21(2)\4088600114972_0_XL.jpg
ice_cream,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/22.09.22 (1)/4088600485225_0.jpg
ice_cream,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/01.07.22/4088600043647_0.jpg
ice_cream,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\27.07.22\4088600536965_0_XL.jpg
ice_cream,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/22.09.22 (1)/4088600485232_0.jpg
ice_cream,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\19.05.23\4088600007342_0_XL.jpg
ice_cream,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\08.09.21(2)\4088600041193_0_XL.jpg
ice_cream,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\01.07.22\4088600043623_0_XL.jpg
ice_cream,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\11.08.21(2)\4088600114989_0_XL.jpg
ice_cream,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\08.08.22\4088600275871_0_XL.jpg
ice_cream,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/23.08.22/5060549640087_0.jpg
ice_cream,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\8421826410033_b9741ceb3d4547b7952e8f60e08a5963_XL.jpg
ice_cream,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\09.06.21\8421826410026_0_XL.jpg
ice_cream,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\11.08.21(2)\4088600114996_0_XL.jpg
ice_cream,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\11.08.21(2)\4088600115016_0_XL.jpg
ice_cream,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\08.09.21(2)\4088600012070_0_XL.jpg
ice_cream,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\23.12.22\4088600551807_0_XL.jpg
ice_cream,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\10.05.22\4088600488523_0_XL.jpg
ice_cream,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\02.08.22\4088600536989_0_XL.jpg
ice_cream,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\23.12.22\4088600551791_0_XL.jpg
ice_cream,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\31.03.22\4088600165530_0_XL.jpg
ice_cream,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\ALL_RESIZED3\4088600367347_0_XL.png
ice_cream,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\09.02.22 AWARD WINNERS\4088600367354_0_XL.jpg
ice_cream,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\30.06 URL UPLOAD\4088600367378_1_XL.jpg
