category,img_src
shower_bath_&_soap,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\21.03.23\5000101226847_0_XL.jpg
shower_bath_&_soap,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\12.07.22\5000231050831_0_XL.jpg
shower_bath_&_soap,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\03.08.21\5033996008144_0_XL.jpg
shower_bath_&_soap,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\11.10.22\4088600090801_0_XL.jpg
shower_bath_&_soap,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\06.07.22\8720181079153_0_XL.jpg
shower_bath_&_soap,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\12.07.22\8720181123924_0_XL.jpg
shower_bath_&_soap,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\29.11.22\4061463634788_0_XL.jpg
shower_bath_&_soap,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\19.07.22 (2)\4088600461182_0_XL.jpg
shower_bath_&_soap,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/13.09.22/4088600407593_0.jpg
shower_bath_&_soap,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\12.07.22\5000231050855_0_XL.jpg
shower_bath_&_soap,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\09.03.23\4088600090658_0_XL.jpg
shower_bath_&_soap,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\12.07.22\8710847950223_0_XL.jpg
shower_bath_&_soap,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\26.04.22 1\4088600013794_0_XL.jpg
shower_bath_&_soap,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\29.11.22\4061463634801_0_XL.jpg
shower_bath_&_soap,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\21.03.23\4061464500136_0_XL.jpg
shower_bath_&_soap,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\12.04.23\4061464500006_0_XL.jpg
shower_bath_&_soap,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\4088600256474_1a77a4ae6cc34c74bead0ebab22892bd_XL.jpg
shower_bath_&_soap,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/21.03.23/4061464500129_0.jpg
shower_bath_&_soap,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/21.03.23/4061464500112_0.jpg
shower_bath_&_soap,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\28.04.23\5060630891954_0_XL.jpg
shower_bath_&_soap,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\28.04.23\5060630891978_0_XL.jpg
shower_bath_&_soap,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/22.09.22 (1)/4088600481210_0.jpg
shower_bath_&_soap,https://aldprdproductimages.azureedge.net/media/image_not_found.jpg
