category,img_src
oral_care,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\03.08.21\4088600350004_0_XL.jpg
oral_care,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\13.05.22\8718951396234_0_XL.jpg
oral_care,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\16.02.23\8718951564862_0_XL.jpg
oral_care,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\16.02.23\8718951568709_0_XL.jpg
oral_care,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/13.09.22/8718951433168_0.jpg
oral_care,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\14.03.23\8718951265837_0_XL.jpg
oral_care,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\19.07.22 (2)\5054563042118_0_XL.jpg
oral_care,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/26.07.22/5000347080685_0.jpg
oral_care,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\25.04.22\8714789194783_0_XL.jpg
oral_care,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\25.04.22\8714789086477_0_XL.jpg
oral_care,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\03.08.21\4088600349992_0_XL.jpg
oral_care,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\23.02.22\4088600431796_0_XL.jpg
oral_care,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\23.02.22\4088600434179_0_XL.jpg
oral_care,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\23.02.22\4088600434162_0_XL.jpg
oral_care,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\03.08.21\4088600192079_0_XL.jpg
oral_care,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\03.08.21\4088600192093_0_XL.jpg
oral_care,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\03.08.21\4088600192086_0_XL.jpg
