category,img_src
deodorants,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\05.05.23\8720181334955_0_XL.jpg
deodorants,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\08.08.22\4088600373560_0_XL.jpg
deodorants,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\08.08.22\4088600373577_0_XL.jpg
deodorants,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\04.05.23\8720181334832_0_XL.jpg
deodorants,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\27.07.21\4088600024912_0_XL.jpg
deodorants,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\05.08.22\4088600024950_0_XL.jpg
deodorants,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\05.08.22\4088600024943_0_XL.jpg
deodorants,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\05.05.23\8720181334948_0_XL.jpg
deodorants,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\04.05.23\8720181334870_0_XL.jpg
deodorants,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\14.04.22\4088600426884_0_XL.jpg
deodorants,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\14.04.22\4088600426891_0_XL.jpg
deodorants,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\04.05.23\8720181334917_0_XL.jpg
deodorants,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\04.05.23\8720181334849_0_XL.jpg
deodorants,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\14.04.22\4088600426907_0_XL.jpg
deodorants,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/13.05.22/8717644331811_0.jpg
deodorants,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\8717644332153_18368ce0375f481ab928c4a607d1cd17_XL.jpg
